"establishmentMeans","reps"
"collected 1100-1400 hrs",3
"collected 1110 hrs",1
"collected 1130 hrs",1
"collected 1330-1500 hrs",1
"collected 1400-1600 hrs",2
"collected 1415 hrs",1
"collected 1430 hrs",3
"collected 1500 hrs",2
"collected 1600 hrs",1
"collected 1700 hrs",1
"collected 1730 hrs",1
"collected 1800 hrs",1
"collected 1815 hrs",1
"collected 1830 hrs",1
"collected 1830-1930 hrs",7
"collected 1930 hrs",3
"collected 1930-2030 hrs",3
"collected 1963 or after",1
"collected 2030 hrs",1
"collected 2030-2130 hrs",1
"collected 6:00 pm",1
"collected 9000-1400 hrs",1
"collected about 0700 hrs",1
"collected after 0730 hrs",1
"collected after 1430 hrs",9
"collected after 1500 hrs",4
"collected after 1530 hrs",1
"collected after 1600 hrs",6
"collected after 4:00 pm",1
"collected along tide rip line, over 45 fathoms",1
"collected at 0600 hrs",9
"collected at 0630 hrs",1
"collected at 0640 hrs",1
"collected at 0650 hrs",1
"collected at 0700 hrs",2
"collected at 0730 hrs",2
"collected at 0800 hrs",1
"collected at 0810 hrs",1
"collected at 0815-1030 hrs",1
"collected at 0845 hrs",2
"collected at 0855 hrs",3
"collected at 0880 hrs",1
"collected at 0900 hrs",16
"collected at 0910 hrs",1
"collected at 0915 hrs",4
"collected at 0920 am",1
"collected at 0920 hrs",1
"collected at 0925 hrs",1
"collected at 0930 hrs",23
"collected at 0935 hrs",2
"collected at 0940 hrs",3
"collected at 0945 hrs",16
"collected at 0950 hrs",6
"collected at 1000 hrs",48
"collected at 1005 hrs",2
"collected at 1010 hrs",3
"collected at 1011 hrs",3
"collected at 1015 hrs",3
"collected at 1020 hrs",2
"collected at 1023 hrs",1
"collected at 1030 hrs",13
"collected at 1040 hrs",1
"collected at 1045 hrs",5
"collected at 1050 hrs",5
"collected at 1100 hrs",11
"collected at 1105 hrs",2
"collected at 1115 hrs",6
"collected at 1120 hrs",1
"collected at 1130 hrs",1
"collected at 1135 hrs",2
"collected at 1140 hrs",1
"collected at 1150 hrs",1
"collected at 1155 hrs",1
"collected at 1200 hrs",4
"collected at 1210 hrs",1
"collected at 1215 hrs",1
"collected at 1225 hrs",1
"collected at 1230 hrs",1
"collected at 1250 hrs",2
"collected at 1300 hrs",4
"collected at 1300-2100 hrs",1
"collected at 1306 hrs",1
"collected at 1325 hrs",1
"collected at 1330 hrs",28
"collected at 1335 hrs",1
"collected at 1345 hrs",4
"collected at 1350 hrs",4
"collected at 1355 hrs",1
"collected at 1400 hrs",42
"collected at 1410 hrs",2
"collected at 1430 hrs",8
"collected at 1445 hrs",1
"collected at 1450 hrs",2
"collected at 1500 hrs",26
"collected at 1505 hrs",3
"collected at 1510 hrs",1
"collected at 1515 hrs",5
"collected at 1530 hrs",1
"collected at 1530-1630 hrs",1
"collected at 1545 hrs",6
"collected at 1555 hrs",1
"collected at 1600 hrs",1
"collected at 1620 hrs",1
"collected at 1630 hrs",3
"collected at 1640 hrs",1
"collected at 1645 hrs",1
"collected at 1650 hrs",2
"collected at 1700 hrs",5
"collected at 1720 hrs",2
"collected at 1730 hrs",5
"collected at 1745 hrs",1
"collected at 1750 hrs",1
"collected at 1800 hrs",5
"collected at 1800 hrs, +/- 30",1
"collected at 1815 hrs",1
"collected at 1830 hrs",25
"collected at 1900 hrs",2
"collected at 1930 hrs",1
"collected at 1945 hrs",1
"collected at night",2
"collected before 0945 am",1
"collected before 0945 hrs",4
"collected before 1000 hrs",3
"collected before 1100 hrs",2
"collected between 0530-7000 hrs",2
