"identificationQualifier","reps"
"Barbula pseudo-rigidula",1
"Barbula purppuripes",1
"Barbula purpuripes",1
"Barbula revoluta",1
"Barbula revoluta?",1
"Barbula revulata",1
"Barbula rubiginosa",1
"Barbula rufafur",1
"Barbula spadicea",1
"Barbula tonquata",1
"Barbula tortuosa",1
"Barbula tosaensis Broth.",1
"Barbula viridis",1
"Barnesa",1
"barnesi",1
"Barton Clay",1
"Bartramia deciduaefolia",1
"Bartramia (Eubartramia) strictae-affinis",1
"Barylambda",1
"Basilonia imperialis",1
"Basilosaurus ?",1
"Basipedes",1
"Bathyopsis",1
"Batodon",1
"Bazzania irtienirs (St.) Niig",1
"Bazzania jamaicensis(?)",1
"Bazzania simillima",1
"B. Clarke",1
"(B. curtum form)",1
"B. Dani",1
"\B.delicatula\ form",1
"'Beatty'",1
"Beckham",1
"Beekmantown Fm",1
"behludini",1
"behrii",1
"Benkovac Ls",1
"berenice",1
"Berggreniana?",1
"Berruvius",1
"Bescherellea cryphaeoides",1
", between longicystis & lanuginosa",1
"betw. griseolilacina ss. Stz & violaceus",1
"Bezdecka, P. Bezde",1
"B. hastifolium",1
"bianor",1
"? bicolor",1
"Bighorn Ls",1
"B. intricatum",1
"(B. isabellescens Murr.)",1
"Bison or Bos",1
"Bison or Camelops",1
"bisporigera/virosa",1
"bitias",1
"B. J. Nichols",1
"B. Kihen",1
"Black Jade cultivar",1
"Black River fm",1
"Black River Ls",1
"Blainvillimus",1
"B. Lanina",1
"B. Laning",1
"Blastomeryx",1
"b. leucopepla, Tuck.",1
"Blindia acuta var. flexipes",1
"blond form",1
"Blue",1
"\blue form\",1
"Blue-green",1
"Blumea cf. cafra",1
"B. macrocarpum",1
"B. Mather",1
"B. McBroom",1
"B. McFarland",1
"Board, Hafernik",1
"Bobstarkey",1
"= Boergeseniella",1
"b of a&b",1
"(Bolbitius - Conocybe?)",1
"(Boletinus)",1
"(= Boletus affinis)",1
"\boltoni\",1
"boltoni complex",1
"\boltonii\",1
"(boltonii complex?)",1
"(boltonii complex)",1
"(\boltonii-sabulet[orum]\)",1
"(\boltonii-sabuletorum\)",1
"(boltonii-sabuletorum??)",1
"(boltonii-sabuletorum?)",1
"(boltonii? sabuletorum?)",1
"boltonii-sabuletorum grp",1
"boltonii-sabuletorum type",1
"(boltonii type).",1
"\boltonii type\",1
"(boltoni-sabuletorum?)",1
"(boltoni-sabuletorum)",1
"boltoni-sabuletorum group",1
"boltoni-sabuletorum, if micros. OK.",1
"(bombycina?)",1
"/bonari",1
"/bondieri",1
"(bonnevillensis)",1
"Bootherium",1
"Borden Fm",1
"\borealis\",1
"Borhyaena",1
"Borophagus?",1
"borreri gp.",1
"Bos?",1
"Both",1
"Bothynus gibbosus",1
"Botrychium dissectum var. dissectum",1
"Brachyhyops ?",1
"Brachymenium capillare",1
"Brachymenium extenuatum",1
"Brachymenium polychaete",1
"Brachymenium subglobosum",1
"Brachyodontium trichodes (Weber f.) Bruch",1
"Brachyodus",1
"Brachythecium dragastrum",1
"Brachythecium edentula",1
"brachythecium oxyrrhynchium",1
"Brachythecium oxyrrhynchium",1
"Brachythecium oxyrrhynchum",1
"Brachythecium recurvans unpubl. name",1
"Brachythecium rigidifolium",1
"Brachythecium rulatulium (L.) B&S",1
"Brachythecium scabriseta",1
"Brachythecium scabrisetae",1
"Brachythecium udum",1
"Brachythecium uncinifolium",1
"Brachythecium wichurae Broth.",1
"? brandegeei x edulis",1
"Branisella",1
"Brassfield Fm",1
"Brassfield ls",1
"Braunia andriexii Lor.",1
"Braunia diaphana (C.M.) Jaeg.",1
"Braunia macropelma (C.M.) Jag",1
"Br. eur.",1
"Breutelia Aristaria/C.M./Broth.",1
"Breutelia sclerodictya Card.",1
"= brevipes",1
"(?brevipes)",1
"Br. germ.",1
"B. Riiten",1
"Brodiaea bicolor",1
"= Brongniartella mucronata",1
"\brown admirabilis\",1
"\brown baga\",1
"brown form",1
"\Brownie[?]\",1
"\brown stricta\, \antler type\, \needle-tipped lignic.\",1
"(\Brunnea\)",1
"Bryant Mather",1
"Bry. Eur. c. fr.",1
"Bryman (?) graminicolor (Brid) Grout var. Holzingeri (R&C) Grout",1
"Bryoerythrophyllum ruebellum",1
"Bryohaplocladium schwetschkeoides",1
"Bryum araucariae",1
"Bryum atrotheca",1
"Bryum audicola",1
"Bryum aulacomnioides",1
"Bryum badium Bruch.",1
"Bryum brachystegium C.-Mull. n. sp.",1
"Bryum capillare var. nagasakense",1
"Bryum chibinense",1
"Bryum coloratune C. Muller",1
"Bryum commersonii",1
"Bryum commutatum, (Sch.) Wats.",1
"Bryum crassicostatum",1
"Bryum Duvalii Voit",1
"Bryum Duvallii Voit",1
"Bryum erythrophylloides",1
"Bryum ferriviae C.-Mull. n. sp.",1
"Bryum gemmuligerum Kindb.",1
"Bryum higoense",1
"Bryum higoense Ochi",1
"Bryum inclanothecium, C. Mull.",1
"Bryum jaffuelii",1
"Bryum japonense",1
"Bryum Mayebarae",1
"Bryum megalastegium Sulliv.",1
"Bryum megalostegium Sull.",1
"Bryum molluscum Hedw.",1
"Bryum neelgheriense",1
"Bryum neelgheriense var. wichurae (Broth.) Mohd.",1
"Bryum niteriuedium Brib.",1
"Bryum noguchii",1
"Bryum oligocladon, C.M. & Kindb.(N.Sp.)",1
"Bryum opdalense",1
"Bryum  pallescens var.contextum",1
"Bryum plumosum Doz. et Molk.",1
"Bryum (proliferum?)",1
"Bryum pseudo-alpinum Ren. et Card.",1
"Bryum psuedo-alpinum Besch.",1
"Bryum pullens",1
"Bryum reyeri",1
"Bryum rivulare",1
"Bryum sacrum",1
"Bryum (Sclerodictyon) hammatocaulon",1
"Bryum sect. Rhodobryum",1
"Bryum spireophyllum",1
"Bryum spuriocontractum",1
"Bryum subalbulum var. robustum",1
"Bryum turgens",1
"Bryum umbratum",1
"Bryum vellei Card. et P. de la V.",1
"Bryum versisporum",1
"Bryum vino-viride, Bartram",1
"Bryum wahlenbergii",1
"Bryum wichurae",1
"B.S.",1
"B. Stevens",1
"B. tauriscorum",1
"b-type",1
"bulbilaceus",1
"? (Bulbopodium)",1
"(Bulbopodium)?",1
"(Bulbopodium) \caesiocyaneus\",1
"Bunophorus",1
"Buntsandstein",1
"Burkei Gray",1
"(Burnettia fabronifolia)",1
"but mis ID for No. America",1
"(butyracea?)",1
"butyracea comp.",1
"B. Wegner",1
"by morphology",1
"Byrum teretiusculum",1
"? by Shultz on M. canescens var.",1
"ca",1
"Caenomeryx",1
"Caenopithecus",1
"caesariata sensu C.H. Kauffman var. caesariata",1
"caesariata sensu CH Kaufman var. pulla",1
"C. agalha",1
"cala., or hirs. max??",1
"Caleb Albers",1
"calgariana",1
"callias",1
"Callicostella probaktum",1
"Callicostella pycnoptera",1
"Calliergon carspidatium",1
"Calliergon circulifolium Kindb.",1
"Callipus ?",1
"Callophoca",1
"Callophoca ?",1
"Callosamia",1
"[calochric?]",1
"calochrous group",1
"Calomnion complanatum (H.f. & W)",1
"Calomnion laetum Hf & W.",1
"Calomnion laetum Hook. f. &Wils.",1
"Calomnion nadeaudii Besch.",1
"Caloplaca saxicola",1
"calorpliota",1
"?? Calvatia??",1
"Calymperes Aongstroemii Besche",1
"Calymperes Bataviense Fleisch.",1
"Calymperes brachycaulon Broth.",1
"Calymperes carrii",1
"Calymperes constrictum. Sull.",1
"Calymperes cymbiolium C Mull.",1
"Calymperes elatissimum",1
"Calymperes leucocoleos",1
"Calymperes mammilliferum",1
"Calymperes semperi",1
"Calymperes thyridioides Broth",1
"Calymperopsis semilibera",1
"Calypog",1
"Calypogeia cyanophora Schuster",1
"Calyptothecium brevifolium",1
"Calyptothecium caudatum",1
"Calyptothecium japonicum",1
"\calytrata\ type",1
"Camelops or Hemiauchenia",1
"Camelus",1
"Camillus Sh",1
"(camphoratae)",1
"Camptochaete gracilis",1
"Camptosaurus cf.",1
"Camptothecium aemesial",1
"Camptothecium fulgescens",1
"Camptothecium mesaie",1
"Camptothecium nevadense",1
"Camptothecium philippeanum",1
"Camptothecium primatifidium",1
"Camptothecium sericeum",1
"Camptothecium trichoides",1
"Campylium elodes",1
"Campylompus ampliretis (C. Mull.) Par.",1
"Campylopodium ditrichoides",1
"Campylopodium euphorocladios",1
"Campylopodium euphorocladum (C. Mull.) Besch.",1
"Campylopodium pusillum (Schimp.) Williams",1
"Campylopus alpestris",1
"Campylopus arachnoideus",1
"Campylopus assimilis",1
"Campylopus calydictyon",1
"Campylopus canadensis",1
"Campylopus carolinae",1
"Campylopus carreiroanus",1
"Campylopus cavernosus",1
"Campylopus denstretis",1
"Campylopus discriminatus",1
"Campylopus fumarioli",1
"Campylopus guadalupensis",1
"Campylopus harrisi",1
"Campylopus harrisii",1
"Campylopus hoehnelii",1
"Campylopus hoffmanni",1
"Campylopus incrassatus",1
"Campylopus jamaicense",1
"Campylopus jamaicensis",1
"Campylopus leptocephalus",1
"Campylopus leptodictyom",1
"Campylopus nigrescens",1
"Campylopus nodiflorus",1
"Campylopus praealtus",1
"Campylopus saxatilis",1
"Campylopus serricuspes",1
"Campylopus subobrutus",1
"Campylopus tortilipilus",1
"Campylopus truncatus",1
"Campylopus viridatulus",1
"Campylopus wattsii",1
"canbyi form",1
"canbyi type",1
"candiope",1
"(\candy stripe\)",1
"[?]canerscens",1
"Canis cf.",1
"canopus",1
"C. A. Overby",1
"(capistratum phase)",1
"'capo'",1
"C. aquatilis",1
"Carbondale Fm",1
"Cardot",1
"Carex Section Ovales: too immature to id to species",1
"= Carex strictior (USDA Plant List)",1
"cariosa? pityrea?",1
"Carly",1
"Carly Tull",1
"carolinensis cf.",1
"\cartilagineum\",1
"caryophyllea ?",1
"[Cascade form]",1
"Casey",1
"castanea-cicatricata",1
"Castoroides ?",1
"Cateigatis (?)",1
"? Catha edulis",1
"Catharinea haussknechtii",1
"Catocala nubilis",1
"Catopsilia argante",1
"Catopsilia philea",1
"(Caulorhiza)",1
"C. callibryon",1
"C. Campbell",1
"= C. canescens var. polystachya (WCSP)",1
"= C. canescens var. subloliacea (USDA PLant List)",1
"= C. canescens var. vitilis (WCSP)",1
"C. Cechan",1
"= C. cephalantha (USDA Plant List)",1
"= C. Cephalantha (USDA Plant List)",1
"C. coremata",1
"C. crispata",1
"= C. cryptocarpa (USDA Plant List)",1
"/ C. cymosum var. canovirens intermediate",1
"C. desertorum",1
"C. dumetorum",1
"Cebochoerus",1
"C. E. Jones, Jr.",1
"celluloderma group?",1
"celtoides",1
"Centetodon?",1
"Centrosaurus cf.",1
"= C. epapillosa (USDA Plant List)",1
"cephalixus gp.",1
"Cephalozia brevicuspidata",1
"Cephalozia incantia",1
"Cephalozia media var. nipponica",1
"Cephalozia minuta",1
"Cephaloziella hyssacia",1
"Cephaloziella kukuiensis",1
"(Cephaloziopsis)",1
"cepholozia lencanths",1
"Ceramiaceae?",1
"+ Ceramium",1
"& Ceratocystis",1
"Ceratodon brasiliensis",1
"Ceratodon columbiae",1
"Ceratodon cylindricus",1
"Ceratodon purpureus f. Brevifolius",1
"Ceratodon purpureus fo. dimorphus",1
"Ceratogaulus",1
"Ceratotherium",1
"Cercyonis oetus",1
"C. ericetorum",1
"Certainly an Arbutus; probably the one called A. xalapensis",1
"certainly not",1
"Cervalces ?",1
"\cervinus\ gp.",1
"cervinus group",1
"cervinus or tsugensis",1
"(cerv. or tsug. fibrillosus)",1
"Cesia obtusa",1
"? cf.",1
"cf?",1
"cf.?",1
"cf. aculeatus",1
"cf. aeruginosum",1
"cf. aestivalis B",1
"cf. agressus",1
"cf. albidum",1
"cf. albifimbria",1
"cf. albivelatus",1
"cf. alfari",1
"cf. alliacea",1
"cf. alnetorum",1
"cf. also P. Similis",1
"cf. also P. similis sensu Smith 1957",1
"cf. alutacea",1
"cf. amoena",1
"cf. amphibium",1
"cf. angusticeps",1
"cf. arcticus",1
"cf. aspera",1
"cf. asperifrons",1
"cf. asprigene",1
"cf. atkinsonianus",1
"cf. atroviridus",1
"cf. aurantiolutea",1
"cf. austrinum",1
"cf. balteatus",1
"cf. bicolor",1
"cf. bifilis",1
"cf. blaesa",1
"cf. bovista",1
"cf. brachytheca",1
"cf. brevispinis",1
"cf. brunnea",1
"cf. butyracea",1
"cf. capitata",1
"cf. caps.",1
"cf. cavernosa",1
"(cf. C. gentilis, C. speciosissimus ???)",1
"cf. check under scope",1
"cf. cinerea",1
"cf. cinereoatra",1
"cf. clarki",1
"cf. coccinea",1
"cf.; comb. nov.",1
"cf. compactus",1
"cf. complex",1
"cf. corvina",1
"cf. Costabrimma terrena",1
"cf. cristata",1
"(cf. C. talus, C. rapaceus???)",1
"cf. cubana",1
"cf. cumberlandia",1
"cf. cuneiformis, or variegata",1
"cf. cuprobrunneus cf. campestris v.",1
"cf. cupularis",1
"cf. C. vanduzerensis",1
"cf. decipiens",1
"cf. deformis",1
"c.f. disperma",1
"cf. draco group",1
"cf. dura",1
"cf. elongatus",1
"cf. eos",1
"cf. erythrogaster",1
"cf. E. schleicheri",1
"= C. festiva var. gracilis (USDA Plant List)",1
"= C. festiva var. haydeniana (WCSP)",1
"= C. festucacea var. brevior (USDA Plant List)",1
"cff",1
"cf. fallax",1
"cf. fenestratum",1
"cf. filipendula",1
"cf. flabellosum",1
"cf. flavella?",1
"cf. flavobrunneus",1
"cf. floridae",1
"cf. florifer",1
"cf. \forest biggie\",1
"cf. fraternus",1
"cf. fremontii",1
"cf. fulva",1
"cf. fuscata",1
"cf. fuscomarginata",1
"cf. fuscovirens",1
"cf. fusiformis",1
"cf. griseus",1
"cf. holocarpa",1
"cf. humilis var. mexicana",1
"cf. hybrid",1
"cf. ��microcarpa",1
"cf, id questionable",1
"cf. incana",1
"cf. intermediate ?",1
"cf. iodiolens",1
"cf. Kauff.",1
"cf. laccata",1
"= C. flaccosperma var. glaucodea (USDA Plant List)",1
"cf. lachneri",1
"cf. leporina",1
"cf. leptacanthus",1
"cf. leuciodus",1
"cf. ligni",1
"cf. limbatus",1
"cf. littoralis",1
"cf. longipes",1
"cf. longissima",1
"cf./L. poliopus var. discolor cf.",1
"cf. lycoperdoides",1
"cf. macronema",1
"cf. maculata",1
"cf. maurilabra",1
"cf. mediterraneus",1
"cf. melanonotata",1
"cf. melanostoma",1
"cf. micrantha",1
"cf. minuta",1
"cf. minutilus",1
"cf. mollis",1
"cf. monorcius[?]",1
"cf. M. paedida, M. brevipes",1
"cf. mucigenous [sic]",1
"cf. muralis",1
"cf. muscorum",1
"cf. mutabilis",1
"cf. N.",1
"cf. near",1
"cf. neoalbipes",1
"cf. nigrescens",1
"cf. nigroviolacea",1
"cf. nobilis",1
"cf. occidentalis",1
"cf. oregonensis group",1
"cf. orientalis",1
"cf. ornatus",1
"cf. pallidus",1
"cf. palmaris",1
"cf. pantostictum",1
"cf. paradoxum",1
"cf parryi",1
"cf. PBM 1401, 1425",1
"cf. peckii",1
"cf. pectinatoides",1
"cf. phaeton",1
"cf. P. hancockii",1
"cf. platiceps",1
"cf. platophrys",1
"cf. polychrous",1
"cf. Polysiphonia strictissima group",1
"cf. priapi",1
"cf. Prionostemma",1
"cf. Prionostemma sp.3 of Dan Proud",1
"cf. pseudopallescens",1
"cf. pteroides",1
"cf. puellanis",1
"cf. pulcher",1
"cf. python",1
"?, c. fr.",1
"(c. fr.)",1
"c. fr!!",1
"c. fr.!",1
"cfr. !",1
"C.F.R",1
"= C. franklinii var. misandroides (USDA Plant List)",1
"cfr. brevipila",1
"cf., referred this as possble",1
"cf. rhytisma",1
"cfr. irrorata",1
"c. fr. juv.",1
"cf. roseolus",1
"cf. RS6392",1
"c. fr. sp.",1
"c. fr.sp.",1
"c. fr.(Turner) Brid.",1
"c. fr. typical",1
"cf. rubellus",1
"cf. rubi",1
"cf. sajori",1
"cf. santrita",1
"cf. sapo",1
"cf. saylori",1
"c.f. scabra",1
"cf. schmidti-group",1
"cf. Scleroderma bermudense Coker",1
"cf. serotinus",1
"cf. serrulata",1
"cf. snellii",1
"cf. sororcula",1
"cf. sp. B",1
"cf. species A",1
"cf. spectabile",1
"cf.; sp. nov.",1
"cf., s.s.",1
"cf. ssp. perincisum",1
"cf. St. John",1
"cf. strictius",1
"cf. subflammeus",1
"cf. subfloridana",1
"cf. subfoetens",1
"cf. subrufescens",1
"cf. symmicta",1
"cf. Telamonia",1
"cf. Telemonia",1
"cf. tenax��var.��expansum",1
"cf. tenax��var.��tenax",1
"cf. tenera",1
"cf. terminata",1
"cf. thaxteri",1
"cf. trochophora��var.��trochophora",1
"cf. turfosa",1
"cf. uncialis",1
"cf. unicus",1
"cf. uvidus",1
"cf. vaginata",1
"cf. valdiviae",1
"c.f. var",1
"cf., var.",1
"cf. variata",1
"cf.; vel. aff.",1
"cf. verna",1
"cf. verrucarioides",1
"cf. vexillaris",1
"cf. violettae",1
"cf. virescens",1
"cf. virginicus",1
"cf. viridis",1
"cf. weberi",1
"cf. yatuae",1
"cf. young",1
"cf Yucca baccata X",1
"cf. Yucca baccata X",1
"cf. zilloides (Banks)",1
"! cg",1
"c.gem.",1
"ch?",1
"Chadron",1
"Chadronia",1
"Chaeropus",1
"= Chalciporus piperatus (Bull.: Fr.) Bataille",1
"\Chalco Race\",1
"= C. haleana (USDA Plant List)",1
"chaon",1
"chaonuius",1
"Characeae",1
"Charles Bryson",1
"Chasmaporthetes",1
"check",1
"check adalberti",1
"Check against image when available",1
"(check Cortinarius)",1
"Checked at U of A",1
"(check Gymnopilus)",1
"CHECK ID ON SPECIMEN",1
"CHECK SPECIMEN FOR ID; may be misread",1
"Cheilolejeunea novoguineensis",1
"Cheilothela chilensis",1
"C. helloides",1
"Chelydra",1
"Chemotype 0",1
"Chemotype 1",1
"Chemotype C",1
"chemotype \J\",1
"Chemotype N",1
"Chem. strain no. 1",1
"Chenopodium glaucum L. var. glaucum",1
"(Chiajaea)",1
"Chinji Fm?",1
"C. hippolyta or stretchi",1
"/chlorinosma",1
"(\chlorinossima\)",1
"Chlorizagrotis auxiliaris",1
"Chlorophyta",1
"C. holocarpa group",1
"Chonecetus",1
"Chordareale",1
"Chordariaceae",1
"= C. howei (USDA Plant List)",1
"Chriacus ?",1
"Christine Upton",1
"chrysenteron? zelleri?",1
"chrysippe",1
"Chrysocetus",1
"Chrysocladium retrorsum var. kiusiuense",1
"Chrysohyphum chrysophyllum",1
"Chrysohyphum diminutivum",1
"Chrysohyphum protensum",1
"/chrysospermus",1
"Chumashius",1
"Chylocladia? Champia?",1
"? Ciboriopsis?",1
"Cij. delila",1
"(cilata)",1
"Cilia conspicua",1
"Cimolomys",1
"cinara",1
"Cinclidium dendroides",1
"Cinclidium hymenopyllum",1
"Cinclidium macounii",1
"Cinclidotus fontinaloides var. Baumgartneri",1
"Cinclidotus mucronatus",1
"cinera (or cristata)",1
"/cinn.",1
"\cinnamomeae\",1
"(cinnamomeus? croceifolius?)",1
"cinnamomeus group",1
"\cinnamoniodora\",1
"\Cinn. Drab. Pyramid\",1
"cinyras",1
"clade 2",1
"Cladopodanthus truncatus",1
"C. lanaoriaeensis",1
"clandesinus complex",1
"clandestinus/cotonus gp.",1
"Claopodium hawaiense",1
"Claopodium laevicaule",1
"Claopodium laxifolium",1
"= C. laricinum (USDA Plant List)",1
"Clastobryophilum bogoriense",1
"Clastobryum cupressoides",1
"Clastobryum patentifoium",1
"= C. laxiflora var. blanda",1
"= C. laxiflora var. blanda (USDA Plant List)",1
"Cleome isomeris",1
"Cleora? sp.",1
"Cleveland Sh",1
"C. L. G. R. Prue II",1
"Climacium novae-seelandiae",1
"C. lineata",1
"Clinton Fm",1
"(Clitocybe?)",1
"(Clitocybe)",1
"/Clitocybe sp.",1
"(Clitocyboid)",1
"Clitocyboid/Butyracea",1
"-Clitocybula",1
"C.L. Jennings",1
"closer to this than C. brennescens",1
"closest to E. caespitosus",1
", close to",1
"Close to",1
"Close to G. elata",1
"(close to H. cuneifolia)",1
"Close to in addition to C. arapahoensis",1
"close to sphaerocarpon",1
"Close to ssp. intermedia",1
"= C. lurida var. gracilis",1
"C. Merbs cultivar",1
"= C. muricata var. angustata",1
"= C. muricata var. gracilis (WCSP)",1
"= C. neomexicana (USDA Plant List)",1
"= C. nervina var. jonesii (WCSP)",1
"= C. nigromarginata var. minor (USDA Plant List)",1
"= C. nigromarginata var. muhlenbergii (USDA Plant List)",1
"= C. nubicola (USDA Plant List)",1
"coalita/mertensii",1
"coastal dunes race",1
"= C. obesa var. minor (WCSP)",1
"? coccineum",1
"Coconino Ss",1
"Coenonympha benjamini",1
"cognatus cf.",1
"Cokendolpher",1
"Colaenis phaetusa",1
"cola form?",1
"Colepiocephale cf.",1
"Colias astraea",1
"Colias keewaydin",1
"& Collema",1
"\collinitus\/mucigenus",1
"(Collybia) /",1
"Collybia dryophila brunnea",1
"Collybia (marasmius) confluens",1
"(Collybia or Clitocybe)",1
"collybiod",1
", Collybioid",1
"(Collybioid)",1
"Collybioid fuscous disc.",1
"Collybioid pleurotoid",1
"/ Collyboid",1
"Collyboid / Mycena",1
"Cololejeunea capingananis",1
"colorascens or theiogalus",1
"columbiensis",1
"Colurolejeunea?",1
"comb. et stat. nov.",1
"comb.n.ined.",1
"? comb. nov.",1
"comb. nov., subsp. nov.",1
"comb nov. Zander",1
"(commutabilis? hypophaea?)",1
"compactum or americanum",1
"Compared with online resources",1
"compare with",1
"compar group",1
"-complex",1
"- complex",1
"complex with angusta & taeniata",1
"(composite)",1
"conditional det.",1
"Conepatus ?",1
"Conewango Fm",1
"confirmation needed, but not R. occidentalis as originally determined",1
"confirmed",1
"Confirmed",1
"confirm./rev. !",1
"confluens",1
"conf. T. Esslinger, 2015",1
"conidial stage",1
"Coniontis nr. elongatus",1
"Connochaetes",1
"Conocephalum lonicum",1
"Conocephalus?",1
"Conocephalus conicum?",1
"Conomitrium julionum",1
"Conomitrium platybryoides",1
"Conomitrium prosenchymaticum",1
"Conomitrium ulei",1
"Conoscyphus forneesis",1
"Conostomum perangulatum",1
"conspersa?",1
"Constance",1
"'constricta'",1
"constricta gp.",1
"Copelemur",1
"Copidryas gloveri",1
"Coral",1
"Coralline",1
"coralloid",1
"coralloides",1
"cornutus cf.",1
"? coronilla",1
"coronis",1
"corrywhifera form",1
"(Cortinarius)",1
"Corythosaurus cf.",1
"Cosoryx ?",1
"Cossidium squamigerum",1
"could be",1
"Could be either Porina or Tricothelium",1
"(could be sambucella??)",1
"could be too",1
"Coyle, F.",1
"cp.",1
"C. pamphiloides",1
"= C. paupercula var. irrigua",1
"c.per",1
"c. per",1
"c. perianth!",1
"C. Petty",1
"C. p. philodice",1
"= C. prionophylla (USDA Plant List)",1
"= C. pseudoscirpoidea (USDA Plant List)",1
"= C. pubescens (WCSP)",1
"Craseops",1
"\Crassospora washingtonensis\",1
"(=crassus)",1
"(Craterellus)",1
"Cratoneuron commutatum var. irrigatum",1
"Cratoneuron filicinum",1
"Cratoneuron filicinum?",1
"Cratoneuron filicium ?",1
"Cratoneuron julicinum",1
"(\Cream[?]\)",1
"cremeopersiana type",1
"(?cremulata)",1
"[crenata �� longifolia]",1
"crenatellum",1
"crenulata? cothurnata?",1
"= C. riparia (USDA Plant List)",1
"crispa",1
"/cristata",1
"cristata-cinerea complex",1
"cristata-cinerea group",1
"\crocea\ complex",1
"crocea complex",1
"(croceofolius)",1
"croceus complex?",1
"\croceus group\",1
"croceus group",1
"croceus group (strong yellow form)",1
"croceus grp.",1
"Crossidium squamigerum",1
"(Crossocalyx)",1
"(crustosa?) (spathulata?)",1
"crustose 1",1
"crustose pyrenolichen",1
"Cryphaea gardneri",1
"Cryphaea leptopteris",1
"Cryphea ? leptoclada",1
"Cryptopodium hookeri ?",1
"= C. setacea (USDA Plant List)",1
"C. sirius",1
"= C. sparganioides var. aggregata",1
"= C. sparganioides var. aggregata (USDA Plant List)",1
"= C. stenophylla var. enervis (USDA Plant List)",1
"= C. straminea var. brevior (WCSP)",1
"= C. stricta var. elongata (USDA Plant List)",1
"ct.",1
"C. Tam",1
"= C. tenera var. echinodes (WCSP)",1
"cu. aurea",1
"? cubenisis",1
"? Cultivar",1
"Cultivar Climax",1
"cultivar torulosa",1
"cultivated bean",1
"Cultivated chile",1
"Cultivated squash",1
"C. undulatum",1
"cuneifolium",1
"cup fungus",1
"Cupressina arcuatipes",1
"cuspidata cf.",1
"Cutler Fm",1
"cv. Golden Beauty",1
"cv. Kablona Golden Yellow",1
"cv. nana",1
"cv. 'Seven Sisters' (pro sp.) [chinensis �� damascena]",1
"cv. variegata",1
"C. W. Dodge",1
"C. W. O'Brien",1
"= C. xanthocarpa (USDA Plant List)",1
"C. xeniloba",1
"Cyanophyceae",1
"Cyathophorum splendissimum",1
"Cyclodictyon antillarum",1
"Cyclodictyon riparium",1
"cylindropuntia",1
"Cylindrothecium reductrix",1
"Cynarctus",1
"Cynodontium candense",1
"Cynodontium hyperboreum",1
"Cynthia erota",1
"Cyphellaceae",1
"Cyphelloid basidio ined.",1
"d.",1
"Dacrymyces - Guepiniopsis",1
"Dactylhymenium Pringlei",1
"Daemonelix",1
"Dakota Fm",1
"D. Allard",1
"Dama ?",1
"Damaliscus",1
"Damrel",1
"Damrel & Hodgson",1
"D. Anderson",1
"Daphoenictis",1
"Daphoenus?",1
"(dark dusky Telamonia)",1
"(dark form)",1
"dark grey form",1
"dark grey form?",1
"dark red form",1
"dark-tipped stricta",1
"dark var.",1
"D Arnold",1
"D. Arnold",1
"Dasyurus",1
"(Daubenmire ��� WSU)",1
"David J. Keil",1
"David M. Thompson",1
"davisi",1
"D. Clowen",1
"dc. Var.",1
"D. Dreck",1
"Deadwood Fm",1
"Debis portlandia",1
"decepta or antica",1
"decissa gp.?",1
"decora [=decorata]",1
"Dee Jay Wilde",1
"? deflexa",1
"degrandula top",1
"Delesseriaceous red",1
"(delibutus gp.)",1
"deliciosus",1
"demetrius",1
"Dendroceros javanicus?",1
"densifolia / nigricans",1
"depauperate",1
"(Derm)",1
"(Derm.) cf.",1
"(Dermocybe?)",1
"(Dermocybe) crocea group (= heuronensis?)",1
"(Dermocybe) gp",1
"(Dermocybe), like sommerfeltii",1
"(Dermocybe), near thiersii",1
"(Dermocybe) near zakii",1
"(Dermocybe) phoeniceus?",1
"(Dermocybe/Telamonia) californicus?",1
"(Derm.) sp.",1
"Desmathyus",1
"Desmatoclaenus",1
"Desmatodon aloides",1
"Desmatodon flavicans",1
"Desmatodon flavicans var. obtusifolius",1
"Desmatodon neomexicanus",1
"Desmatodon nervosus",1
"desorii cf.",1
"despite having merely bifid petals",1
"det./confirm./rev.",1
"det.: M. Barkworth 2004",1
"dextrinoid dendrohyphidia",1
"D. Hanirel",1
"D. Hollar",1
"D. hutchinsiae Harv. in Hook.",1
"Diablotherium",1
"Diacodon cf.",1
"diaphanum group?",1
"Diceros",1
"Dichelyma cylindrica",1
"Dichelyma longinerve",1
"Dichelyma obtusulum",1
"Dichodontium canadense",1
"Dichodontium subflavens",1
"Diclanoloma fragiliforme",1
"Dicranella",1
"Dicranella duchassaingii",1
"Dicranella flexicaule",1
"Dicranella howellii",1
"Dicranella pallidum",1
"Dicranella polaris",1
"Dicranella pseudolongirostris",1
"Dicranella pycnoglossa",1
"Dicranella pycuoglosa",1
"Dicranella secunda",1
"Dicranella subinclinata",1
"Dicranella tonduzii",1
"Dicranodontium fenudatum",1
"Dicranodontium inundatum",1
"Dicranodontium millspauchi",1
"Dicranodontium perviride",1
"Dicranodontium sericeum",1
"Dicranoloma billarderii?",1
"Dicranoloma billardieri var. patentifolium",1
"Dicranoloma brownii",1
"Dicranoloma fragile",1
"Dicranoloma laevifolium",1
"Dicranoloma pungens",1
"Dicranoloma scoparcolum",1
"Dicranoweisia couterncina",1
"Dicranoweisia meulenbeckii",1
"Dicranum alatum",1
