"data.dwc:preparations","reps"
"1000",87
"claws",87
"fiberglass",87
"fv",87
"intermediate",87
"tarsus",87
"ulnae",87
"164",86
"costals",86
"et98",86
"p5",86
"postcleithrum",86
"subadults",86
"calcanea",85
"iso",85
"lugol",85
"pvlp",85
"r.d",85
"shale",85
"stubs",85
"transparency",85
"ansp",84
"entocuneiform",84
"footprint",84
"postcranials",84
"ui",84
"169",83
"carnassial",83
"corado",83
"depois",83
"diafanizado",83
"field",83
"jars",83
"neon",83
"prélevé",83
"terminal",83
"viii",83
"165",82
"rami",82
"stored",82
"hypural",81
"jim",81
"kleine",81
"metatarsals",81
"numerous",81
"166",80
"170",80
"assorted",80
"172",79
"completly",79
"trig",79
"400",78
"radii",78
"sprit",78
"tarsals",78
"test",78
"bullae",77
"suprapygal",77
"baltic",76
"oct",76
"traseau",76
"163",75
"176",75
"185",75
"1951",75
"1976",75
"5more",75
"chev",75
"dorsals",75
"heat",75
"in1963",75
"inflorescence",75
"meta",75
"pellet",75
"urostyle",75
"1964",74
"basicranium",74
"cervicals",74
"dmnh",74
"flower",74
"imm",74
"premolars",74
"same",74
"saved",74
"denticle",73
"greater",73
"neck",73
"188",72
"4th",72
"basisphenoid",72
"coquille",72
"mesocuneiform",72
"ovaries",72
"p11",72
"photo:drumm",72
"ventrolateral",72
"182",71
"190",71
"1972",71
"cf",71
"crown",71
"nacl",71
"nmfs",71
"occiput",71
"sc",71
"tadpole",71
"179",70
"1m",70
"blocks",70
"bs",70
"corpus",70
"drawings",70
"mass",70
"turtle",70
"174",69
"178",69
"183",69
"193",69
"excellent",69
"inypcc",69
"male",69
"reared",69
"scapulae",69
"transverse",69
"194",68
"196",68
"frond",68
"ldp4",68
"wall",68
"zygomatic",68
"173",67
"204",67
"bottom",67
"bx",67
"internal",67
"lacustrine",67
"parietals",67
"parks",67
"prootic",67
"scrap",67
"sed",67
"track",67
"tracks",67
"186",66
"198",66
"6more",66
"acetabular",66
"but",66
"coronoid",66
"fore",66
"gastric",66
"horncore",66
"last",66
"texas",66
"view",66
"192",65
"concretion",65
"gel",65
"guts",65
"p8",65
"restoration",65
"171",64
"187",64
"189",64
"191",64
"alex",64
"barnacles",64
"bouins",64
"carter",64
"cores",64
"ruchty",64
"177",63
"197",63
"formaldeído",63
"hash",63
"needled",63
"off",63
"palates",63
"prefrontal",63
"surface",63
"01",62
"cleithra",62
"crushed",62
"presumed",62
"standing",62
"184",61
"composite",61
"electrophoretic",61
"gonads",61
"riker_mount",61
"199",60
"202",60
"208",60
"220",60
"formolsprit",60
"incissor",60
"residue",60
"ti",60
"xvi",60
"181",59
"blade",59
"met'ing",59
"opercula",59
"prepared",59
"pronotum",59
"repaired",59
"shoulder",59
"twig",59
"207",58
"alc.fluid",58
"baby",58
"framed",58
"imperfect",58
"mc",58
"ossicle",58
"remarks",58
"schmitt",58
"warburton",58
"xray",58
"1962",57
"cubonavicular",57
"dactyli",57
"exc",57
"fur",57
"illium",57
"naviculo",57
"permanent",57
"pinnule",57
"possible",57
"rock",57
"scalp",57
"steinkern",57
"trachea",57
"201",56
"228",56
"burleigh",56
"exuvia",56
"fragmented",56
"hemapophysis",56
"histo",56
"paddle",56
"palatal",56
"pupal",56
"s.p",56
"unerupted",56
"uterus",56
"02",55
"05",55
"elytron",55
"ends",55
"florida",55
"gr",55
"limestone",55
"ling",55
"macro",55
"prearticular",55
"stapes",55
"tal",55
"twigs",55
"209",54
"217",54
"aug",54
"condition",54
"dp1",54
"edson",54
"ilia",54
"marta",54
"pola",54
"portions",54
"pr",54
"scapulocoracoid",54
"sko",54
"195",53
"210",53
"213",53
"237",53
"board",53
"carcass.fluid",53
"cd",53
"chloroform",53
"mtdna",53
"paris",53
"phenol",53
"snout",53
"temporal",53
"untanned",53
"203",52
"229",52
"231",52
"1f",52
"also",52
"jay",52
"june",52
"225",51
"3rd",51
"etoh:unfixed",51
"gastralia",51
"gevir",51
"juvs",51
"loose",51
"mt",51
"orm1or2",51
"ri1",51
"tarsometarsus",51
"thigh",51
"212",50
"219",50
"almost",50
"echinoids",50
"femoral",50
"intercentrum",50
"meat",50
"mnd",50
"rings",50
"series",50
"205",49
"214",49
"216",49
"223",49
"238",49
"1953",49
"04",49
