"sex","reps"
"Stirpes Cryptogram Fasc. X (938-957)",20
"w, m",20
"worker, intercaste",20
"workers/brood",20
"1 alate queen, 1 male, 1 worker",19
"1aQ, 2m",19
"1 females, 7 males",19
"1 females, 8 males",19
"1ma, 1mi",19
"1 male, 12 females",19
"1Q ergatoid, 2w",19
"1w, 1m, 1aq",19
"23w",19
"26",19
"28 males",19
"29 females",19
"29 males",19
"2 females; 5 males",19
"2 males, 10 females",19
"2w(1), 1w(2)",19
">30w",19
"35w",19
"3dq",19
"3 females, 8 males",19
"3m,4f",19
"3 male; 4 female",19
"3 tritoninfas",19
"3w (1w gaster detached)",19
"4 females, 9 males",19
"4 males, 9 females",19
"61 undetermined",19
"6 male; 3 female",19
"7 females, 2 males",19
"7 male; 2 female",19
"7 male; 3 female",19
"8 females, 7 males",19
"9 workers",19
"adults",19
"Boreali-Americani 81-100",19
"Decades of North America Lichens 321-340",19
"Decades of North America Lichens 341-360",19
"ergatogyne, worker",19
"Hermaphroditic",19
"Lichen Alpium Fasc. I",19
"Lichenes Exsiccati Fasc. V.",19
"Lichens Alpium Fasc. IX",19
"Lichens Alpium Fasc. XII",19
"male and female",19
"male; unknown",19
"M (by dissection)",19
"M;  + skull",19
"Stirpes Cryptogamae Fasc. VI (540-557)",19
"Stirpes Cryptogram Fasc. XII (1144-1162)",19
"Stirpes Cryptogram Fasc. XV (1424-1445)",19
"100 females",18
"11W",18
"12 males, 2 females",18
"150 adults",18
"1 male, 11 females",18
"1w destruction",18
"2m,6f",18
"2 males, 9 females",18
"2w, 2m",18
"3F, 2M",18
"3 females, 9 males",18
"3 Males, 2 Females",18
"40",18
"5m,4f",18
"5 worker",18
"83 undetermined",18
"8 males, 6 females",18
"alados, obreras",18
"egg",18
"egg or egg sac",18
"F (by dissection)",18
"female + male",18
"forewing",18
"Lichenes Exsiccati Fasc. I (1-20)",18
"Lichenes Exsiccati (Ser. II.) 41-60",18
"Lichenes Minus Cogniti Exsiccati",18
"Lichens Alpium Fasc. VI",18
"Lichens Fenniae Exsiccati Fasc. III",18
"Light",18
"; male",18
"minor worker, major worker",18
"Queen, worker",18
"Queen/worker",18
"Stirpes Cryptogamae Fasc. I (57-74)",18
"10M",17
"10 males, 5 females",17
"12W",17
"17 sex not recorded",17
"18 sex not recorded",17
"18w",17
"1dq, 1s, 1w",17
"1 Male, 1 Immature",17
"1w (destruction)",17
"21m",17
"26u",17
"27",17
"28 females",17
"2 adults, 1 specimen",17
"2F, 3M",17
"2m,5f",17
"42 males",17
"4M 2F",17
"54 adults",17
"5M 1F",17
"5 males, 8 females",17
"68 undetermined",17
"6 females, 8 males",17
"7 males, 5 females",17
"7 males, 6 females",17
"7 males, 7 females",17
"8 females, 10 males",17
"8 males, 8 females",17
"9 males, 7 females",17
"Lichenes Exsiccati (Ser. II.) 21-40",17
"Lichenes Exsiccati (Ser. II) 81-100",17
"Lichenes Portugal Fasc. III (241-260)",17
"Lichens Fenniae Exsiccati Fasc. II",17
"Lichens of Eastern North America Exsiccati",17
"M3",17
"MALE?",17
"monoecious",17
"M; TL 1280 + 248",17
"not recorded; female",17
"Undet",17
"10 males, 1 female",16
"10 males, 6 females",16
"1aQ, 1w major, 1w",16
"1aQ (gaster detached)",16
"1dQ, 1m",16
"1dq, 2w",16
"1 Male, 3 Females",16
"1w, 2aq",16
"27w",16
"2 Females",16
"2 females; 3 males",16
"2 male; 5 female",16
"2s",16
