"typestatus","reps"
"voucher of <a href=""http://arctos.database.museum/name/gerridae"">gerridae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/gerridae"">gerridae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",162
"voucher of <a href=""http://arctos.database.museum/name/hirudinea"">hirudinea</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",162
"voucher of <a href=""http://arctos.database.museum/name/lestidae"">lestidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/lestidae"">lestidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",162
"parahapantotype",161
"voucher of <a href=""http://arctos.database.museum/name/peromyscus leucopus"">peromyscus leucopus</a>, page 9 in <a href=""http://arctos.database.museum/publication/10004560"">hope and parmenter 2007</a>",161
"m. t. valerio-berardo",160
"probably not a type",160
"voucher of <a href=""http://arctos.database.museum/name/atheta ventricosa"">atheta ventricosa</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",160
"holo",156
"voucher of <a href=""http://arctos.database.museum/name/mustela erminea"">mustela erminea</a>, page 806 in <a href=""http://arctos.database.museum/publication/96"">fleming and cook 2002</a>",153
"voucher of <a href=""http://arctos.database.museum/name/chaoboridae"">chaoboridae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/chaoboridae"">chaoboridae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",151
"holotype + paratype(s)",150
"paratype of phrynomantis humicola humicola",150
"voucher of <a href=""http://arctos.database.museum/name/zapus hudsonius"">zapus hudsonius</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",148
"typus",147
"voucher of <a href=""http://arctos.database.museum/name/myodes""><i>myodes</i> pallas, 1811</a>, page 14 in <a href=""http://arctos.database.museum/publication/10004828"">runck et al. 2009</a>",147
"voucher of <a href=""http://arctos.database.museum/name/liogluta trapezicollis"">liogluta trapezicollis</a> in <a href=""http://arctos.database.museum/publication/10007308"">klimaszewski et al. 2016</a>",146
"voucher of <a href=""http://arctos.database.museum/name/oligochaeta"">oligochaeta</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",146
"voucher of <a href=""http://arctos.database.museum/name/lepidophorus lineaticollis"">lepidophorus lineaticollis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",145
"paratype cinara anelia favret and voegtlin",144
"poss type",143
"typus?",143
"voucher of <a href=""http://arctos.database.museum/name/sorex cinereus"">sorex cinereus</a>, page 682 in <a href=""http://arctos.database.museum/publication/10006471"">hope et al. 2012</a>",142
"lectotype; lectotype",141
"voucher of <a href=""http://arctos.database.museum/name/anaspis rufa"">anaspis rufa</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",141
"voucher of <a href=""http://arctos.database.museum/name/bombus bohemicus"">bombus bohemicus</a> in <a href=""http://arctos.database.museum/publication/10007148"">pampell et al. 2015</a>",141
"paratype [?]",140
"referral of <a href=""http://arctos.database.museum/name/phratora interstitialis"">phratora interstitialis</a> in <a href=""http://arctos.database.museum/publication/10006207"">collet 2008.</a>; voucher of <a href=""http://arctos.database.museum/name/phratora interstitialis"">phratora interstitialis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",140
"cotypus",139
"paratype of phyllodactylus reissii",138
