v_member,reps
Bed 5 Mbr,1
Bytham sands and gravels,1
Buena Vista Ss.,1
Upper Green Sand,1
Arcadia Park,1
Otterville Limestone Member,1
COOPER MARLE,1
Ellicott Sh.,1
Big Scuffle Ls Mbr,1
Borden Shale Member,1
Valamonte Diatomite,1
Peneary Lord,1
Hitz Limestone Member,1
Piedra Parada,1
Lower Ixtaclum Shale,1
Rugby Limestone,1
Casey Mbr,1
Orio Sandstone,1
Grange Hill,1
Grand River Mbr.,1
Micmacca Mb.,1
Klondike Mbr,1
?Straight Creek Mbr.,1
Bildstock Horizon Mbr,1
Bald Hill,1
Gosforth Shale,1
Coli Toro,1
Dorikranites beds,1
Lias Epsilon II/5,1
Marquam,1
Unit 5 (informal) (from bottom),1
SIMPSON,1
Radnice Member,1
Peyto Ls Mbr,1
No. 4,1
Keel Mbr,1
Mount Laurel,1
Mt. Hope? Member,1
Smoky HIl,1
Emigrant Gap,1
Zhinan,1
Saladero,1
Liasfleckenmergel,1
"Saluda Ls., probably",1
Rawnsley Quartzite,1
Whitcliffe Flags Member,1
Cariocystites layer,1
Blocher Member,1
Ames Shale,1
"upper division C, or lower division D",1
Conewago Mbr?,1
Graham Sh Mbr,1
Gypsum Spring,1
Spinatyrpa mascula zone,1
Crepicephalus zone,1
Effna limestone,1
HAYS SPRINGS,1
SPRING HILL LS,1
Geulhem Chalk,1
Hickory Corners Ls Mbr,1
Seahorne Mbr,1
Hamstead,1
INDIAN SPRINGS SHALE MEMBER,1
Killians Ls Mbr,1
"Division A3 of King, 1981, 10m above base of formation",1
Carter Siltstone,1
Semilla Sandstone Mbr.,1
C4,1
Osage Springs Member,1
Mt. Hope  Member,1
Stonefort Ls Mbr,1
Dajialian,1
Emperador Ls Mbr,1
acteonellid gravels,1
Comrey Sandstone,1
? Upper,1
Deltadalen Member,1
Epsilon II/4,1
BEE CAVE MEMBER,1
L. Sheep,1
Dinosaur Canyon Ss Mbr,1
Hartgrundbank,1
Brownwood,1
Linwood,1
Acme Shale Member,1
Gransaull Clay Mbr,1
Pastoria Sand Mbr,1
Moscow Sh.,1
Wallangulla,1
Pyramid Hill Ss Mbr,1
Basal Basaltic Sandstone Member,1
Waiteroa Member Mbr,1
Muddy Ss Mbr,1
Twin Buttes (D2),1
"ROCKPORT LS?, UPPER",1
just below Pecten Zone,1
BROMIDE,1
Frzier Silt Stone,1
Lincoln lower,1
Aldwick Beds,1
Nomura Mudstone Mbr,1
Pine Barren Mbr.,1
Draney Limestone,1
Stewartville,1
Thorp Springs Ls Mbr,1
Herne Bay Member,1
Confederate Ls Mbr,1
Skull Creek Sh Mbr,1
Miles Limestone,1
"unit XIV (Fisher, 1862)",1
Broderick,1
Tennoji silty sandstone Member (float),1
Point Peak Shale,1
"Brush Creek Mbr, Lower",1
Jacksboro Shale Member,1
Piuma,1
Burkesville Ls Mbr,1
Gassaway,1
Lixhe I,1
Pierre Shales,1
Part 3,1
Prarie Grove,1
Halifax Hard coal,1
Colwell Bay,1
Indian Castle,1
Higginsville-Houx ls,1
Akron dolostone,1
Atarque,1
lower unit,1
Romualdo Mbr,1
Division A,1
Hale Mbr,1
Florence Limestone Member,1
Hengxian Mbr,1
Lyraun Cove Shale,1
Passinho Shale,1
Black Earth Dolomite,1
Muddy,1
Fossiliferous Zone,1
Upper Dunfee,1
Bonney Sandstone,1
Fourth,1
Parting,1
Duguer,1
Division 8 (ii),1
Sheena Shale Member,1
Ibex Limestone,1
Lias Geodenlage Ca II,1
Skunk Hollow,1
bed 28 or 30,1
Burlington,1
Unit 2 or 15,1
Lower Shizhou Member,1
Saltos Shale Mbr,1
Upper Llajas,1
Manzanita Limestone Mbr,1
Indian Spriongs Shale Memeber,1
Amoret,1
Oxford Clay Bituminous Member,1
Red Head,1
At Caballero-Lake Valley contact,1
Morrow Creek Tongue,1
Long Creek Mbr,1
Chillesford Sand,1
Bayou Menard,1
Shinden,1
Vaureal zone 18,1
Vaureal Zone 3-4,1
"ROCKPORT LS, UPPER",1
Lobstick,1
"COAL MEASURES, LOWER",1
Cat Head Mbr,1
Lower Las Cascadas Fm.,1
Elkhorn Mbr,1
New Hannover Member,1
Claymore Sandstone Member,1
Pescado Mbr,1
Zheltiaki,1
Upper White Limestone,1
Blanchester Mbr.,1
Silica Shale Member,1
lower white sandstone unit,1
Jupiter zone 2 or 3,1
Skull Ridge Mbr,1
Cliff-end Sands,1
Harleyville Mbr,1
uppermost middle,1
Swartwood zone,1
Kirmenjak,1
Timbetes Member,1
FOSSIL BUTTE MEMBER,1
Mulayah limestone Member,1
Burdiehouse Limestone,1
'Kursk Osteolite',1
'A',1
Dadoxylon SS,1
RAMP CREEK MEMBER,1
Snyder Creek,1
Maki,1
Moulton,1
Green Hills,1
"Carwood Mbr., Unit 6",1
Vicksburg Limestone,1
Oberes Konglomerat,1
