organismScope,reps
Beauveria felina (de Candolle : Fries) Carmichael,5
Beauveria pseudobassiana S.A. Rehner & Humber,4
Beauveria sp.,2
Beltrania querna Harkness,2
Beltraniella amoena Castañeda et al.,1
Beltraniella clavatophora Castañeda et al.,1
Beltraniella havanensis (Holubová-Jechová) Matsushima,1
Beltraniella odinae Subramanian,1
Beltraniella pirozynskii P.M. Kirk,2
Bensingtonia miscanthi (Nakase & M. Suzuki) Nakase & Boekhout,1
Bensingtonia naganoensis (Nakase & M. Suzuki) Nakase & Boekhout,1
Bensingtonia subrosea (Nakase & M. Suzuki) Nakase & Boekhout,1
Bensingtonia yamatoana (Nakase & M. Suzuki) Nakase & Boekhout,1
Bensingtonia yuccicola (Nakase & M. Suzuki) Nakase & Boekhout,1
Bettsia alvei (Betts) Skou,5
Beverwykella clathrata Voglmayr,1
Bionectria rossmaniae Schroers,8
Bionectria setosa Schroers,1
Bionectria sp.,2
Bipolaris brizae (Nisikado) Shoemaker,1
Bipolaris euchlaenae (Zimmermann) Shoemaker,1
Bipolaris hawaiiensis (M.B. Ellis) Uchida & Aragaki,4
Bipolaris leersiae (Atkinson) Shoemaker,2
Bipolaris micropus (Drechsler) Shoemaker,2
Bipolaris panici-miliacei (Nisikado) Shoemaker,1
Bipolaris papendorfii (van der Aa) Alcorn,1
Bipolaris sacchari (E. Butler) Shoemaker,2
Bipolaris sorghicola (Lefebvre & Sherwin) Alcorn,1
Bipolaris sorokiniana (Saccardo) Shoemaker,3
Bipolaris spicifera (Bainier) Subramanian,2
Bipolaris tripogonis (Patil & Rao) Alcorn,1
Bipolaris victoriae (Meehan & Murphy) Shoemaker,2
Biscogniauxia mediterranea (De Notaris) Kuntze,1
Biscogniauxia nummularia (Bulliard) Kuntze,3
Biscogniauxia uniapiculata (Penzig & Saccardo) Whalley & Lassøe,1
Bispora betulina (Corda) Hughes,1
Bispora betulina (Corda) S.J. Hughes,4
Bjerkandera adusta (Willdenow : Fries) P. Karsten,3
"Blastobotrys adeninivorans (W.J. Middelhoven, M.C. Hoogkamer-Te Niet & N.J.W. Kreger-van Rij) C.P. Kurtzman & C.J. Robnett",1
"Blastobotrys arbuscula de Hoog, Rantio-Lehtimäki & M.T. Smith",1
Blastobotrys aristata Marvanova,2
Blastobotrys chiropterorum (Grose & Marinkelle) Kurtzman & Robnett,1
"Blastobotrys mokoenaii (Mokwena, Jansen van Rensburg & Myburgh) Kurtzman & Robnett",1
Blastobotrys nivea von Klopotek,3
Blastobotrys parvus (Fell & Statzell) Kurtzman & Robnett,1
Blastobotrys proliferans Marvanová,2
Blastobotrys sp.,6
Blastobotrys terrestris (J.P. van der Walt & E. Johannsen) C.P. Kurtzman & C.J. Robnett,2
"Boeremia foveata (Foister) Aveskamp, Gruyter & Verkley",1
Boidinia subasperispora (Litschauer) Jülich,3
Boletellus ananas (M.A. Curtis) W.A. Murrill,2
Boletellus coccineus (Fries) Singer,1
Boletinellus merulioides (von Schweinitz) Murrill,1
Boletus aestivalis (Paulet) Fries,1
Boletus chrysenteron Bulliard,2
Boletus edulis Bulliard: Fries,1
Boletus leucophaeus Batt,1
Bondarzewia mesenterica (Schaeffer) Kreisel,1
Boreostereum radiatum (Peck) Parmasto,5
Botryobasidium candicans J. Eriksson,1
Botryobasidium pruinatum (Bresadola) J. Eriksson,1
Botryobasidium robustius Pouzar & Jechová,1
Botryobasidium sphaericosporum Boidin et al.,2
Botryobasidium subcoronatum (von Höhnel & Litschauer) Donk,1
Botryoconis japonica Saito,1
Botryoderma lateritium Papendorf & Upadhyay,1
Botryodiplodia malorum (Berkeley) Petrak & Sydow,1
Botryodiplodia palmarum (Cooke) Petrak & Sydow,2
Botryohypochnus isabellinus (Fries) Donk,1
Botryomyces caespitosus de Hoog & Rubio,1
Botryosphaeria berengeriana de Notaris,1
Botryosphaeria rhodina (Berkeley & Curtis) von Arx,5
Botryosporium longibrachiatum (Oudemans) Maire,6
Botryotinia calthae Hennebert & M.E. Elliott,10
Botryotinia convoluta (Drayton) Whetzel,5
Botryotinia draytonii (Buddin & Wakefield) Seaver,20
Botryotinia ficariarum Hennebert,9
Botryotinia fuckeliana (de Bary) Whetzel,7
Botryotinia globosa Buchwald,5
Botryotinia narcissicola (Gregory) Buchwald,12
Botryotinia pelargonii Røed,2
Botryotinia polyblastis (Gregory) Buchwald,3
Botryotinia porri (van Beyma) Whetzel,29
Botryotinia ranunculi Hennebert & Groves,1
Botryotinia ricini (Godfrey) Whetzel,4
Botryotinia sphaerosperma (Gregory) Buchwald,14
Botryotinia squamosa Viennot-Bourgin,15
Botryotrichum atrogriseum van Beyma,1
Botryotrichum piluliferum Saccardo & Marchal,2
Botryozyma nematodophila Shann & M.Th. Smith,1
Botrytis aclada Fresenius,28
Botrytis allii Munn,7
Botrytis anthophila Bondarzew,4
Botrytis byssoidea J.C. Walker,6
Botrytis cinerea,174
Botrytis cinerea Persoon ex Fries,3
Botrytis convallariae (Klebahn) Ondrej,1
Botrytis croci Cooke & Massee,2
Botrytis elliptica (Berkeley) Cooke,1
Botrytis fabae Sardiña,9
Botrytis galanthina (Berkeley & Broome) Saccardo,12
Botrytis hyacinthi Westerdijk & van Beyma,9
Botrytis paeoniae Oudemans,8
Bourdotia galzini (Bresadola) Trotter,3
Bovista plumbea Persoon : Persoon,1
Brachyconidiella monilispora R.F. Castañeda & Kendrick,2
Brachyconidiellopsis fimicola Decock & R.F. Castañeda,1
Brachysporiella gayana Batista,1
Brettanomyces custersianus Van der Walt,1
Brettanomyces naardenensis Kolfschoten & Yarrow,3
"Brettanomyces nanus (M.T. Smith, Bat. Vegte & Scheffers) M.T. Smith., Boekhout, Kurtzman & O'Donnell",1
Buglossoporus pulvinus (Persoon) Donk,1
Bulbillomyces farinosus (Bresadola) Jülich,6
Bulbocatenospora complanata Castañeda et al.,2
Bullera dendrophila Van der Walt & D.B. Scott,1
Bullera dendrophila van der Walt & Scott,1
Bullera globispora B.N. Johri & Bandoni,1
Bullera oryzae Nakase & Suzuki,1
Bullera pseudoalba Nakase & Suzuki,1
Bullera sinensis Li,1
Bullera sinensis var. lactis (Li) Bai et al.,1
Bullera variabilis Nakase & Suzuki,1
Bulleromyces albus Boekhout & A. Fonseca,9
Bulleromyces albus Boekhout & Fonseca,1
Burgoa anomala (Hotson) Goidánich,1
Burgoa aurantiaca (Hotson) Goidánich,1
Burgoa verzuoliana Goidánich,1
Byssochlamys fulva M. Olliver & G. Smith,2
Byssochlamys fulva Ollivier & G. Smith,1
Byssochlamys nivea Westling,11
Cadophora fastigiata Lagerberg & Melin,2
Cadophora malorum (Kidd & Beaumont) W. Gams,6
Calcarisporiella thermophila (Evans) de Hoog,1
Calcarisporium arbuscula Preuss,16
Calcarisporium sp.,1
Calocera cornea (Batsch : Fries) Fries,3
Calocera viscosa (Persoon : Fries) Fries,7
Calonectria crotalariae (Loos) Bell & Sobers,1
Calonectria floridana Terashita,4
Calonectria naviculata Crous & M.J. Wingfield,6
Calonectria scoparia Ribeiro & Matsuoka ex Peerally,1
Calonectria spathulata N.E. El-Gholl et al.,1
Calosphaeria barbirotris (Fries) Ellis & Everhart,1
Calostilbella calostilbe von Höhnel,1
Calyptella campanula (Nees : Fries) W.B. Cooke,1
Camarops polysperma (Montagne) J.H. Miller,1
Camarops spathulata (Berkeley & Broome) Nannfeldt,1
Camposporium antennatum Harkness,3
Camposporium cambrense S. Hughes,2
Camposporium pellucidum (Grove) S.J. Hughes,3
Candelabrochaete africana Boidin,1
Candelabrum spinulosum van Beverwijk,2
Candida aaseri Dietrichson ex van Uden & Buckley,2
Candida albicans (Robin) Berkhout,389
"Candida alimentaria Knutsen, V. Robert & M.T. Smith",3
Candida allociferrii Ueda-Nishimura & Mikata,4
Candida anatomiae (Zwillenberg) Meyer & Yarrow,1
"Candida andamanensis Am-In, Limtong, Yongmanitchai & Jindamorakot sp. nov.",1
Candida anglica Kurtzman et al.,3
Candida apicola (Hajsig) Meyer & Yarrow,14
Candida apis (Lavie ex van Uden & Vidal-Leiria) S.A. Meyer & Yarrow var. apis,1
"Candida argentea S.L. Holland, S.V. Avery & P.S. Dyer",1
Candida atakaporum Suh & M. Blackwell,2
Candida athensensis Suh & M. Blackwell,1
Candida atlantica (R. Siepmann) S.A. Meyer & F.P. Simione,2
Candida atmosphaerica Santa María,2
Candida auringiensis Santa María,1
Candida azyma (van der Walt et al.) S.A. Meyer & Yarrow,11
Candida bentonensis Kurtzman,1
Candida bertae Ramírez & González var. bertae,1
Candida berthetii Boidin et al.,1
Candida blankii Buckley & van Uden,5
Candida boidinii Ramirez,3
Candida boidinii Ramírez,24
Candida boleticola Nakase,4
Candida bombi Montrocher,3
"Candida bracarensis A. Correia, P. Sampaio, S.A. James & C. Pais",1
Candida buinensis Soneda & Uchida,1
Candida canberraensis Kurtzman,1
"Candida carpophila (Phaff & M.W. Miller) Vaughan-Martini, Kurtzman, S.A. Meyer & O'Neill",7
Candida caryicola Kurtzman,1
Candida castellii (Capriotti) S. Meyer & Yarrow,1
Candida castellii (Capriotti) S.A. Meyer & Yarrow,1
Candida castrensis Ramírez & González,1
Candida catenulata Diddens & Lodder,16
Candida chilensis Grinbergs & Yarrow,1
Candida coipomoensis Ramírez & González,1
Candida conglobata (Redaelli) van Uden & H.R. Buckley,1
Candida cylindracea K. Yamada & Machida ex S.A. Meyer & Yarrow,1
"Candida danieliae M. Groenew., V. Robert & M.Th. Smith",2
Candida dendrica (van der Walt et al.) S.A. Meyer & Yarrow,1
Candida dendronema van der Walt et al.,2
Candida diddensiae (Phaff et al.) Fell & Meyer,4
Candida diospyri Bay & Lu,1
Candida diversa Ohara et al. ex van Uden & Buckley,4
"Candida dubliniensis Sullivan , Westerneng, Haynes, Bennett & Coleman",21
Candida dubliniensis Sullivan et al.,1
Candida elateridarum Suh & M. Blackwell,1
Candida entomophila Scott et al.,1
Candida ergastensis Santa María,1
Candida ernobii (Lodder & Kreger-van Rij) S.A. Meyer & Yarrow,3
Candida etchellsii (Lodder & Kreger-van Rij) S.A. Meyer & Yarrow,5
"Candida ethanolica Rybárová, Stros, Kocková-Kratochvílová",5
Candida fennica (C.E. Sonck & D. Yarrow) S.A. Meyer & D.G. Ahearn,1
Candida fermenticarens van der Walt & Baker,1
Candida floricola Tokuoka et al.,1
Candida fluviatilis Hedrick,1
"Candida fragi M. Suzuki, Nakase & Fukazawa",1
Candida freyschussii Buckley & van Uden,2
Candida friedrichii Uden & Windisch,1
Candida friedrichii van Uden & Windisch,2
Candida fructus (Nakase) S.A. Meyer & Yarrow,2
"Candida galacta (W.I. Golubev & Bab'eva) F.-L. Lee, C.-F. Lee, S. Okada, Komagata & M. Kozaki",1
"Candida galli G. Péter, Dlauchy, Vasdinyei, Tornai-Leh. & T. Deák",2
Candida geochares (van der Walt et al.) S.A. Meyer & Yarrow,1
Candida glabrata (Anderson) S. Meyer & Yarrow,167
Candida glabrata (H.W. Anderson) S.A. Meyer & Yarrow,16
Candida glaebosa Komagata & Nakase,1
Candida gropengiesseri (F.C. Harrison) S.A. Meyer & Yarrow,1
Candida haemulonii (van Uden & Kolipinski) S.A. Meyer & Yarrow,2
Candida haemulonis (van Uden & Kolipinski) S. Meyer & Yarrow,1
Candida hawaiiana M.A. Lachance & J.W. Bowles,6
Candida hellenica (O. Verona & G. Picci) D.S. King & S.C. Jong,1
Candida hispaniensis C.P. Kurtzman,2
"Candida hollandica Knutsen, V. Robert & M.Th. Smith",2
Candida homilentoma van der Walt & Nakase,1
Candida humilis (E.E. Nel & van der Walt) S.A. Meyer & Yarrow,3
Candida incommunis Ohara et al.,3
Candida inconspicua (Lodder & Kreger-van Rij) S. Meyer & Yarrow,4
Candida inconspicua (Lodder & Kreger-van Rij) S.A. Meyer & Yarrow,3
Candida insectalens (Scott et al.) S.A. Meyer & Yarrow,1
Candida insectamans Scott et al.,1
Candida insectorum Scott et al.,1
Candida intermedia (Ciferri & Ashford) Langeron & Guerra var. intermedia,26
"Candida ipomoeae Lachance, C.A. Rosa, Starmer & J.M. Bowles",1
Candida ishiwadae Sugiyama & Goto,1
"Candida jaroonii Imanishi, Jindamorakot, Nakagiri, Limtong & Nakase",1
Candida kipukae M.A. Lachance & J.W. Bowles,1
Candida kruisii (Kocková-Kratochvílova & Ondrusová) S.A. Meyer & Yarrow,1
Candida lactis-condensi (B.W. Hammer) S.A. Meyer & Yarrow,3
"Candida laemsonensis Am-In, Limtong, Yongmanitchai & Jindamorakot sp. nov.",1
"Candida leandrae Ruivo, Pagnocca, Lachance & C.A. Rosa",2
Candida linzhiensis F.Y. Bai & Z.-W. Wu,1
Candida litsaeae Kurtzman,1
Candida llanquihuensis Ramírez & González,1
Candida lyxosophila van der Walt et al.,1
Candida magnoliae (Lodder & Kreger-van Rij) S.A. Meyer & Yarrow,13
Candida maltosa Komagata et al.,1
"Candida maltosa Komagata, Nakase & Katsuya",1
Candida maris (van Uden & Zobell) S. Meyer & Yarrow,1
Candida maris (van Uden & Zobell) S.A. Meyer & Yarrow,1
Candida maritima (R. Siepmann) N. van Uden & H.R. Buckley ex S.A. Meyer & D.G. Ahearn,2
Candida melibiosica Buckley & van Uden,1
Candida melibiosica H.R. Buckley & van Uden,4
Candida membranifaciens (Lodder & Kreger-van Rij) Wickerham & Burton,2
Candida mesenterica (Geiger) Diddens & Lodder,4
"Candida metapsilosis Tavanti, A. Davidson, Gow, M. Maiden & Odds",6
"Candida metapsilosis Tavanti, A.D. Davidson, Gow, Maiden & Odds",3
Candida methanosorbosa (S. Abe et Yokote) J.A. Barnett et al.,1
"Candida middelhoveniana Ribeiro, Carvalho, Cabral, Macrae, Mendonça-Hagler, Berbara & Hagler",1
Candida mogii Vidal-Leiria,1
Candida montana Goto & Oguri,1
Candida multigemmis (Buhagiar) S.A. Meyer & Yarrow,4
Candida nanaspora Saëz & Rodrigues de Miranda,1
Candida natalensis Van der Walt & Tscheuschner,2
Candida nemodendra (van der Walt et al.) S.A. Meyer & Yarrow,2
Candida nitratophila (Shifrine & Phaff) S.A. Meyer & Yarrow,2
Candida norvegica (Reiersøl) S.A. Meyer & Yarrow,2
Candida oleophila Montrocher,6
Candida ontarioensis Kurtzman & Robnett,1
Candida oregonensis Phaff & do Carmo-Sousa,2
Candida orthopsilosis Tavanti et al.,7
"Candida orthopsilosis Tavanti, A. Davidson, Gow, M. Maiden & Odds",5
"Candida oslonensis Knutsen, V. Robert & M.Th. Smith",1
Candida palmioleophila Nakase & Itoh,11
Candida palmioleophila Nakase & M. Itoh,1
Candida paludigena Golubev & Blagodatskaya,2
Candida parapsilosis (Ashford) Langeron & Talice,117
Candida parapsilosis (Ashford) Langeron & Talice var. parapsilosis,36
Candida pararugosa Nakase & al.,2
Candida pararugosa Nakase et al.,3
"Candida patagonica Sangorrín, C.A. Lopes, Belloch, Querol & A.C. Caballero",6
Candida peltata (Yarrow) S.A. Meyer & Ahearn,2
Candida petrohuensis C. Ramírez & A. González,3
"Candida picachoensis Suh, Gibson & Blackwell",3
Candida pignaliae (Jacob) S.A. Meyer & Yarrow,1
"Candida pimensis Suh, C.M. Gibson & M. Blackwell",2
Candida pini (Lodder & Kreger-van Rij) S.A. Meyer & Yarrow,2
Candida prunicola Kurtzman,1
Candida pseudointermedia Nakase et al.,1
Candida pseudolambica M.T. Smith & Poot,1
Candida psychrophila (S. Goto et al.) S.A. Meyer & Yarrow,1
Candida quercitrusa S.A. Meyer & Phaff,6
Candida quercuum Nakase,1
Candida railenensis C. Ramírez & A. González,1
Candida rancensis C. Ramírez & A. Gonzaléz,9
"Candida ranongensis Am-In, Limtong, Yongmanitchai & Jindamorakot sp. nov.",1
"Candida restingae C.A. Rosa, Lachance, Starmer, J.S.F. Barker, J.M. Bowles & Schlag-Edl.",1
Candida rhagii Jurzitza et al.,1
Candida rugopelliculosa Nakase,1
Candida rugosa (Anderson) Diddens & Lodder,1
Candida rugosa (Anderson) Diddens & Lodder var. rugosa,1
Candida saitoana Nakase & M. Suzuki,2
Candida sake (Saito & Oda) van Uden & Buckley,2
Candida sake (Saito & Ota) van Uden & H. R. Buckley,13
Candida salmanticensis (Santa María) van Uden & H.R. Buckley,1
Candida santamariae Montrocher,3
Candida santjacobensis Ramírez & González,2
Candida savonica Sonck,2
Candida schatavii (Kocková-Kratochvílová & Ondrusová) S.A. Meyer & Yarrow,1
Candida sequanensis Saëz & Rodrigues de Miranda,1
Candida shehatae Kurtzman var. shehatae,2
Candida silvae Vidal-Leiria & van Uden,3
Candida silvanorum van der Walt et al.,1
Candida silvatica (van der Walt et al.) S.A. Meyer & Yarrow,1
Candida silvicultrix van der Walt et al.,1
Candida smithsonii Suh & M. Blackwell,1
Candida solani Lodder & Kreger-van Rij,1
Candida sonorensis (Miller et al.) S.A. Meyer & Yarrow,1
Candida sophiae-reginae C. Ramírez & A.E. González,1
Candida sophiae-reginae Ramírez & González,1
Candida sorbophila (Nakase) S.A. Meyer & Yarrow,2
"Candida sorbosivorans S.A. James, C.J. Bond & I.N. Roberts",3
Candida sorboxylosa Nakase,1
Candida sp.,47
Candida spandovensis (Henninger & Windisch) S.A. Meyer & Yarrow,2
"Candida spencermartinsiae Statzell, Scorzetti & Fell",1
Candida sphagnicola Kachalkin & Yurkov,1
"Candida stellimalicola M. Suzuki, Nakase & Komagata",2
Candida succiphila Lee & Komagata,1
Candida suecica Rodrigues de Miranda & Norkrans,1
Candida tammaniensis Kurtzman & Robnett,1
Candida tanzawaensis Nakase & Itoh,1
Candida tenuis Diddens & Lodder,6
Candida tepae Grinbergs,1
Candida tibetensis F.Y. Bai & Z.W. Wu,1
"Candida tolerans Lachance, J.M. Bowles, Starmer & J.S.F. Barker",1
Candida torresii (van Uden & Zobell) S.A. Meyer & Yarrow,1
Candida tropicalis (Castellani) Berkhout,72
Candida tropicalis (Castellani) Berkhout var. tropicalis,28
Candida tsuchiyae Nakase & Suzuki,1
Candida valdiviana Grinbergs & Yarrow,1
Candida vanderwaltii (Vidal-Leiria) S.A. Meyer & Yarrow,1
Candida vartiovaarae (Capriotti) van Uden & H.R. Buckley,1
Candida versatilis (Etchells & T.A. Bell) S.A. Meyer & Yarrow,5
Candida vini (Vallot ex Desmazières ) Uden & H.R. Buckley ex S.A. Meyer & Ahearn,1
Candida viswanathii Sandhu & Randhawa,3
Candida wickerhamii (Capriotti) S.A. Meyer & Yarrow,1
Candida xylopsoci Kurtzman,1
"Candida yakushimensis Suzuki, Ide, Ohkuma, Peter, Dlauchy, Tornai-Lehoczki, Deak, Usamt & Kudo nom. inval.",4
Candida yuanshanicus Lee & Liu,1
Candida zeylanoides (Castellani) Langeron & Guerra,5
Candida zeylanoides (Castellani) Langeron & Guerra var. zeylanoides,7
Capitofimbria compacta (R.F. Castañeda et al.) L. Lombard & Crous,1
Capronia acutiseta Samuels,1
Capronia coronata Samuels,1
Capronia dactylotricha Untereiner et al.,1
Capronia epimyces M.E. Barr,2
Capronia fungicola (Samuels & E. Müller) Untereiner,1
Capronia mansonii (Schol-Schwarz) E. Müller et al.,7
Capronia munkii Untereiner,3
Capronia nigerrima (Bloxam) M.E. Barr,1
Capronia parasitica (Ellis & Everhart) E. Müller et al.,1
Capronia perpussila Reblova,1
Capronia pilosella (P. Karsten) E. Müller et al.,2
Capronia pulcherrima (Munk) E. Müller et al.,2
Capronia semiimmersa (Candoussau & Sulmont) Untereiner & Naveau,2
Capronia villosa Samuels,1
Castanoporus castaneus (Lloyd) Ryvarden,1
Cenococcum geophilum Fries : Fries,2
Cephaliophora irregularis Thaxter,2
Cephaloascus fragrans Hanawa,2
Cephalosporium sclerotigenum F. & V. Moreau,1
Cephalotrichum sp.,1
Ceraceomerulius serpens (Fries) Eriksson & Ryvarden,5
Cerastomella sensu A. Munk,1
Ceratobasidium anceps (Bresadola & Sydow) H.S. Jackson,1
Ceratocladium microspermum Corda,2
Ceratocystiopsis minuta-bicolor (R.W. Davidson) H.P. Upadhyay & W.B. Kendrick,1
Ceratocystiopsis retusi (Davidson & Hinds) Upadhyay,1
Ceratocystis adiposa (Butler) C. Moreau,3
Ceratocystis adiposa (E.J. Butler) C. Moreau,1
Ceratocystis brunnea Davidson,1
Ceratocystis clavata (Mathiesen-Käärik) Hunt,2
Ceratocystis coerulescens (Münch) Bakshi,6
Ceratocystis fimbriata Ellis & Halstead,6
Ceratocystis introcitrina Olchowecki & Reid,1
Ceratocystis laricicola Redfern & Minter,1
Ceratocystis longirostellata Bakshi,2
Ceratocystis major (van Beyma) C. Moreau,2
Ceratocystis microspora (von Arx) Davidson,2
Ceratocystis moniliformis (Hedgcock) C. Moreau,1
Ceratocystis montium (Rumbold) Hunt,1
Ceratocystis olivaceapini Davidson,1
Ceratocystis paradoxa (Dade) C. Moreau,11
Ceratocystis perfecta Davidson,1
Ceratocystis radicicola (Bliss) C. Moreau,2
Ceratosporella compacta Castañeda et al.,1
Ceratosporella novae-zelandiae S. Hughes,1
Cercospora apii Fresenius,1
Cercospora beticola Saccardo,3
Cercospora cruenta Saccardo,1
Cercospora nicotianae Ellis & Everhart,2
Cercospora zeina Crous & U. Braun,11
Cercosporidium graminis (Fuckel) Deighton,2
Cerinosterus luteoalbus (de Hoog) R.T. Moore,1
Ceriosporopsis halima Linder,1
Ceriporia metamorphosa (Fuckel) Ryvarden & Gilbertson,1
Ceriporia purpurea (Fries) Donk,1
Cerocorticium molare (Chaillet : Fries) Jülich & Stalpers,4
Cerrena consors (Berkeley) K.S. Ko & H.S. Jung,1
Chaetocladium brefeldii van Tieghem & le Monnier,1
Chaetocladium jonesii (Berkeley & Broome) Fresenius,2
Chaetomella circinoseta Stolk,1
Chaetomella raphigera Swift,7
Chaetomidium cephalothecoides (Malloch & Benny) von Arx,1
Chaetomidium galaicum Stchigel & Guarro,1
Chaetomium acropullum X. Wei Wang,1
Chaetomium ampulliellum X. Wei Wang,3
Chaetomium atrobrunneum Ames,1
Chaetomium aureum Chivers,3
Chaetomium bostrychodes Zopf,4
Chaetomium brasiliense Batista & Pontual,8
Chaetomium cancroideum Tschudy,1
Chaetomium chiversii (J.C. Cooke) Carter,1
Chaetomium coarctatum Sergeeva,1
Chaetomium cochliodes Palliser,4
Chaetomium cochlioides Palliser,1
Chaetomium convolutum Chivers,4
Chaetomium cuniculorum Fuckel,1
Chaetomium cupreum Ames,2
Chaetomium cuyabenoensis Decock & Hennebert,1
Chaetomium dreyfussii von Arx,1
