establishmentMeans,reps
"F1936, 0C+P",1
"F1937, 0C+P",1
"F1938, C+P",1
"F1939, 0C+P",1
"F194, C+P",1
"F1940, 0C+P",1
"F1942, 0C+P",1
"F1944, P only",1
"F1945, P only",1
"F1946, P only",1
"F1947, 0C+P",1
"F1948, C+P",1
"F1949, P only",1
"F1950, C+P",1
"F1951, P only",1
"F1952, C+P",1
"F1953, C+P",1
"F1954, P only",1
"F1955, P only",1
"F1956, C+P",1
"F1957, P only",1
"F1958, P only",1
"F1959,",1
"F196, ØC+P",1
"F1960, P only",1
"F1961, P only",1
"F1962, 0C+P",1
"F1963, 0C+P",1
"F1964, P only",1
"F1965,",1
"F1966,",1
"F1967, P only",1
"F1968, P only",1
"F1969, 0C+P",1
"F197, P only",1
"F1970, 0C+P",1
"F1971, P only",1
"F1972, P only",1
"F1973, P only",1
"F1974, C+P",1
"F1975, C+P",1
"F1976, P only",1
"F1977, P only",1
"F1978, P only",1
"F1979, P only",1
"F198, P only",1
"F1980, P only",1
"F1981, P only",1
"F1982, P only",1
"F1983, P only",1
"F1984, P only",1
"F1985, P only",1
"F1986, 0C+P",1
"F1987, 0C+P",1
"F1988, 0C+P",1
"F1989, 0C+P",1
"F199, C+P",1
"F1990, P only",1
"F1991, 0C+P",1
"F1992, P only",1
"F1993, P only",1
"F1994, P only",1
"F1995, P only",1
"F1996, P only",1
"F1997, P only",1
"F1998, 0C+P",1
"F1999, 0C+P",1
"F2, ØC+P",1
"F20,",1
"F200, C+P",1
"F2000, 0C+P",1
"F2001, 0C+P",1
"F2003, 0C+P",1
"F2006,",1
"F2007,",1
"F2007, 0C+P",1
"F2008,",1
"F2009,",1
"F201, ØC+P",1
"F2010,",1
"F2011,",1
"F2021,",1
"F203, P only",1
"F2031, 2119,",1
"F2032,",1
"F2033, 0C+P",1
"F2034, P only",1
"F2035, 0C+P",1
"F2036, P only",1
"F2037, P only",1
"F2038, P only",1
"F2039, P only",1
"F204, ØC+P",1
"F2040, C+P",1
"F2041, P only",1
"F2042, 0C+P",1
"F2043, C+P",1
"F2044, C+P",1
"F2045, 0C+P",1
"F2046, 0C+P",1
"F2047, C+P",1
"F205, P only",1
"F2050, C+P",1
"F2051, C+P",1
"F2053, C+P",1
"F206, C+P",1
"F2062, 0C+P",1
"F2063, 0C+P",1
"F2064, 0C+P",1
"F2065, P only",1
"F2066, 0c+p",1
"F2067, C+P",1
"F2068, 0C+P",1
"F2069, C+P",1
