reproductiveCondition,reps
"1 emb, cr=20 well dev",1
1 emb.,1
1 emb. (20 mm) 1 aborted?,1
1 emb. CR = 13 mm,1
1 emb. X 2,1
1 emb. X 4,1
1 emb. X 5,1
1 emb. X 6,1
1 emb. X 8,1
1 emb. izq. 13 mm,1
1 emb. izq. 30.55 mm,1
1 emb. small,5
1 emb.: CR = 25 mm,1
1 emb.; CR=10 mm,1
1 emb.; CR=12 mm,4
1 emb.; CR=125 mm,1
1 emb.; CR=14 mm,3
1 emb.; CR=147 mm,1
1 emb.; CR=150 mm,1
1 emb.; CR=16 mm,1
1 emb.; CR=17 mm,1
1 emb.; CR=18 mm,1
1 emb.; CR=19 mm,2
1 emb.; CR=2 mm,2
1 emb.; CR=20 mm,2
1 emb.; CR=21 mm,2
1 emb.; CR=22 mm,1
1 emb.; CR=24 mm,1
1 emb.; CR=25 mm,5
1 emb.; CR=26 mm,1
1 emb.; CR=28 mm,2
1 emb.; CR=29 mm,1
1 emb.; CR=3 mm,1
1 emb.; CR=30 mm,2
1 emb.; CR=32 mm,1
1 emb.; CR=33 mm,1
1 emb.; CR=35 mm,1
1 emb.; CR=37 mm,2
1 emb.; CR=4 mm,2
1 emb.; CR=46 mm,1
1 emb.; CR=5 mm,1
1 emb.; CR=50 mm,1
1 emb.; CR=50mm,1
1 emb.; CR=6 mm,2
1 emb.; CR=68 mm,1
1 emb.; CR=8 mm,6
1 emb.; CR=85 mm,1
1 emb.; CR=9 mm,1
1 emb/1 X 8,1
"1 emb:1(R),0(L)",4
"1 emb:1L, 1R; CR=1 mm",1
"1 emb:1L, 1R; CR=25 mm",1
1 emb:1L; CR=25 mm,1
1 emb:1L; CR=28 mm,1
1 emb:1L; CR=37 mm,1
1 emb:1L; CR=5 mm,1
"1 emb:1R, 1L; CR=33 mm",1
"1 emb:1R, 1L; CR=5 mm",1
"1 emb:1R, 1L; CR=7 mm",1
"1 emb:1R, 1L; CR=74 mm",1
1 emb:1R; CR=11 mm,1
1 emb:1R; CR=15 mm,1
1 emb:1R; CR=19 mm,1
1 emb:1R; CR=21 mm,1
1 emb:1R; CR=24 mm,1
1 emb:1R; CR=26 mm,1
1 emb:1R; CR=40 mm,1
1 emb:1R; CR=6 mm,1
1 emb:CR = 24,1
1 emb:CR = 25,1
1 emb; -cr-14,1
1 emb; CR-11,2
1 emb; CR-12,3
1 emb; CR-13,2
1 emb; CR-14,1
1 emb; CR-15,3
1 emb; CR-19,1
1 emb; CR-20,3
1 emb; CR-21,2
1 emb; CR-22,2
1 emb; CR-23,1
1 emb; CR-24,1
1 emb; CR-25,3
1 emb; CR-3,1
1 emb; CR-30,1
1 emb; CR-31,1
1 emb; CR-32,2
1 emb; CR-42,1
1 emb; CR-5,3
1 emb; CR-50,1
1 emb; CR-6,1
1 emb; CR-9,4
1 emb; CR<1mm,1
1 emb; CR=16mm,1
1 emb; CR=18mm,1
1 emb; CR=19mm,1
1 emb; CR=21mm,1
1 emb; CR=24mm,2
1 emb; CR=26mm,1
1 emb; CR=30mm,1
1 emb; cr--4,1
1 emb; cr-10,26
1 emb; cr-11,14
1 emb; cr-12,20
1 emb; cr-12; lact,1
1 emb; cr-13,16
1 emb; cr-14,18
1 emb; cr-15,26
1 emb; cr-16,11
1 emb; cr-17,13
1 emb; cr-18,10
1 emb; cr-19,11
1 emb; cr-2,1
1 emb; cr-20,17
1 emb; cr-20; lactating,2
1 emb; cr-21,5
1 emb; cr-22,7
1 emb; cr-23,7
1 emb; cr-24,5
1 emb; cr-25,15
1 emb; cr-26,5
1 emb; cr-27,6
1 emb; cr-28,5
1 emb; cr-29,4
1 emb; cr-3,4
1 emb; cr-30,12
1 emb; cr-31,4
1 emb; cr-32,6
1 emb; cr-33,3
1 emb; cr-33; lactating,1
1 emb; cr-34,3
1 emb; cr-35,9
1 emb; cr-35; lactating,1
1 emb; cr-36,2
1 emb; cr-37,1
1 emb; cr-4,24
1 emb; cr-40,3
1 emb; cr-5,33
1 emb; cr-6,30
1 emb; cr-6; lact,1
1 emb; cr-7,22
1 emb; cr-7x4,2
1 emb; cr-8,20
1 emb; cr-9,22
1 emb;cr-3,1
1 emb=10,2
1 emb=11; lact,1
1 emb=12,1
1 emb=15,2
1 emb=15; lact,1
1 emb=18,2
1 emb=19,1
1 emb=20,1
1 emb=22,1
1 emb=23,2
1 emb=24,1
1 emb=25,2
1 emb=30,3
1 emb=4,1
1 emb=6,1
1 embryo,4
1 embryo (L) CR:41,1
1 embryo (L) CR:49,1
