reproductiveCondition,reps
"1 unshelled egg in oviduct, 2 ruptured follicles, ova 8, 4, 2 mm",1
"1 unshelled egg in oviduct, 3 enlarged follicle, 4 eggs in clutch",1
"1 unshelled egg in oviduct, brood patch active, several ruptured follicles, no enlarged follicles",1
"1 unshelled egg in oviduct, brood patch defeathering, 3 ruptured follicles and 1 large ovum",1
"1 unshelled egg in oviduct, large ova, no brood patch",1
"1 unshelled egg in oviduct, no enlarged follicles, ruptured follicles, brood patch active",1
"1 unshelled egg in oviduct, old ruptured follicles, brood patch active",1
"1 unshelled egg in oviduct, ova 6, 4 mm, 2 ruptured follicles, brood patch active",1
"1 unshelled egg plus 3 eggs at 5, 3, 2 mm in oviduct, brood patch active, 3 ruptured follicles",1
"1 uterine scar right, 2 scars left, lactating",1
1 uterine scar.,1
1 x 1 mm,1
"1 x 1, paired and dark",1
1 x 2 mm,1
"1 x 4 x 1 mm, pair of ducts",1
1 x1 mm testis,1
1 x1mm testis,1
"1 yoked ova, 0R, 1L, 11 mm",1
"1 yolk in oviduct 40 mm, 4 others quite large",1
1 young,4
1 young released,1
1 young; CR-37,1
1 young; CR-40,1
1 young; mother of ROMM 32086,1
1 young; mother of ROMM 59129,1
1 young; mother of ROMM 69842,1
1+0=1 placental scar,3
"1+0=1 this year, 3+3=5 last year placental scars",1
1+1=2 placental scars,4
"1+1=2 this year, 1+1=2 last year placental scars",1
"1-5 scar, lactating",1
1.0mm,1
1.5 mm tubes,1
1.5 x 1.5 mm ovary,1
1.55mm testis,1
1.5x1.5,1
1/2 WHITE Male F2 of WHITE Male x Female 62C,1
10 X 5,1
10 X 6,2
10 X 7,1
10 emb,1
"10 embryos, 10 mammae",1
10 embs,1
"10 embs, 15 mm",1
"10 embs, 3L, 7R, 5 mm",1
"10 embs, 3L, 7R, L3-R7 16 mm",1
"10 embs, 4 mm",2
"10 embs, 5 mm",1
"10 embs, 5L, 5R, 13 mm",1
"10 embs, 6L, 4R, 19 mm",1
"10 embs, lactating",1
10 mammae,1
10 mammae visible; not lactating; 3 embryos; cr-14,1
10 mammae.  Nursing,1
10 mm x 4 mm,1
"10 ova: 1 mm, ov: 7x4 mm",1
10 ova; largest 10X10 mm,1
10 ova; largest 7X7 mm,1
10 plac scar,1
10 plac scar 5L 5R 2 sets; mammary tissue present; not lactating,1
10 plac scar 7L 3R,1
10 plac scar 8L 2R,1
10 pouch young,1
10 teats,1
"10 uterine scars (5 each horn), lactating",1
10 well developed embs,1
10 x 7,1
10 x 8mm ovary,1
"10 young, 4 males, 6 females, lactating",1
"10 young, 5 males, 5 females",1
"10% in flower, 90% vegetative.",1
10-71 tag female,1
100% in flower.,4
1025,1
1028,1
106,1
109,1
10mm,1
10x15,1
10x5,1
10x6,1
"10x7.5mm, milky",1
10x7mm,1
11 X 7,4
11 X 8,1
11 eggs in oviducts,1
11 embryos,1
11 embs,2
"11 embs, 5L, 6R",1
"11 embs, 5L, 6R, 10 mm",1
"11 embs, 6L, 5R, 15 mm, 11 traces of embryos",1
"11 embs, 7L, 4R, 30 mm",1
"11 embs, 8 mm",1
"11 embs, 9 mm",1
11 embs/6R/5L/cr=2mm,1
11 embs: 3mm,1
"11 large ova, lrgst: 90x90 mm",1
11 pac scars: 7(R)&4(L),1
11 plac scar,2
11 pouch young 3-4 days old.  Had produced young e,1
11 pouch young; CR-33,1
11 x 7,1
"11 young in pouch, 7 males, 4 females, 50 mm",1
"11 young, 7 male, 4 females, lactating",1
11.5x10 mm (yellow),1
11x6,1
11x7mm,1
11x7mm; largest ovum: 2mm,1
11x9mm,1
12,2
12 Apr 1946,1
12 Dec 1992 mated,1
12 emb 6L 6R; MAM,1
"12 embryos, CRL=approx. 45 mm",1
"12 embs, 6L, 6R, 31 mm",1
"12 embs, 9 mm",1
12 plac scar,1
"12 placental scars, lactating",1
12 undev emb in oviducts,1
12 young in pouch,2
"12 young in pouch, 5 males, 7 females, 42 mm",1
"12 young, 45 mm",1
12 young; lactating,1
126 ova 10-11 Nov,1
12x9mm,1
13,1
"13 embs, 9 mm",1
13 ova; largest 4X4 mm,1
13 plac scar 2 sets,1
13 pouch young; CR-63,1
13 sept to 2 oct Reared Chiefly in sleeves on Quercus palustris at New Haven CT Spring '77 Leg. Dale F Schweitzer,1
13 young in pouch,1
"13 young, 40 mm",1
"13x6, 10x7",1
13x6mm,1
"14 X 19 (right testis), epid-",1
"14 embs, 7R, 7L, CRL=29 mm",1
"14 placental scars: 7R, 7L of last year.",1
14 x 6.5,1
"14 x 7 mm, largest ovum 4 x 4 mm",1
14mm,1
15 20mm eggs,1
15 Dec 1992 mated,1
15 kg,1
15 x 7,1
15 x 9 mm,1
15.5 kg,1
15.9 x 7.7 mm,1
15mm. embryo,1
15x15,1
15x5,1
16 Apr 1946 (from cocoon),1
16 Dec 1992 mated,1
16 X 6mm testis,1
16 hembras ovadas,1
16 mm egg in oviduct - no shell,1
"16 ova left side, 17 right",1
16292no embryo,1
16mm yolk,1
17 May 1979,1
"17 ova left side, 16 right",1
"17 ova left side, 17 right",1
"17 ova left side, 17 right, one egg",1
"17 ova left side, 18 right",1
17 x 8,1
170,1
17mm egg in oviduct,1
18 kg,1
18 ova left side,2
"18 ova left side, 18 right",4
"18 ova left sie, 17 right",1
181926,1
"18ova left side, 18 right",1
18x10,1
19.5 kg,1
"1968 rearings, ecl. Feb. - Apr. 1968: Group 1",1
"1968 rearings, ecl. Feb. - Apr. 1968: Group 2",1
"1968 rearings, ecl. Feb. - Apr. 1968: Group 3",1
"1968 rearings, ecl. Feb. - Apr. 1968: Group 4",1
"1968 rearings, ecl. Feb. - Apr. 1968: control group",1
"1968 rearings, ecl. Feb. - Apr. 1968: exptl. (1.5 days)",1
1969 female parents 69-12 - 69-163,1
1973 V #1 oviposited,1
1974 parents,1
1976 parents female 76-1 - 76-32,1
1976 parents male 76-33 - 76-42,1
1977 female parents 77-1 - 77-31,1
1977 male parents 77-32 - 77-?,1
1977 parents female 77-63 - 77-? male 77-1 - 77-30,1
1979,1
1980 pairs females 80-4 - female 80-36,1
1980 parents females 80-37 - 80-68,1
1980 parents females 80-69 - males 80-37,1
1980 parents males 80-38 - males 80-73,1
1980 parents males 80-74 - males 80-75,1
1981 parents females 81-1 - 81-30,1
1981 parents females81-31 - males 81-34,1
1981 parents males 81-35 - 81-39,1
1984,1
19x4,1
1:2 = 6 mammae,2
1:2= 6 mamae,1
1L emb,4
"1R plac scar, 1L emb",1
"1R, 0L placental scars",1
"1R, 1L emb.   1: 2 = 6 mammae.",1
"1R, 1L, scars, lactating",1
"1R, 2L placental scars",1
"1R,0L emb",8
"1R,0L plac scar",5
"1R,1L emb",3
"1R,1L plac scar",1
"1TA, 1TS (7 X 5)",1
"1TA,1TS (9 X 6)",1
1TA/1TS (10 X 6),1
1TA/1TS (10 X 7),1
1TA/1TS (11 X 7),1
1TA/1TS (12 X 6),1
1TA/1TS (12 X 7),2
1TA/1TS (12 X 8),1
1TA/1TS (13 X 8),1
1TA/1TS (14 X 7),1
1TA/1TS (15 X 8),1
1TA/1TS (22 X 13),1
1TA/1TS (35 X 18),1
1TA/1TS (5 X 3),2
1TA/1TS (6 X 3),1
1TA/1TS (6 X 4),2
1TA/1TS (7 X 4),1
1TA/1TS (8 X 4),1
1TA/1TS 12 X 7,1
1TA/1TS 13x7,1
1TA/1TS 17x10,1
1TA/1TS 7 X 5,1
"1TS, 1TA (15x10)",1
"1TS, 1TA (7x3)",1
"1TS, 1TA (7x5)",1
"1TS, 1TA (8x4)",1
"1TS, 1TA (9x6)",1
"1TS, 1TA 20x10, adult",1
1emb; cr-10,1
1emb; cr-27,1
1mm,1
1st year cone,1
1x1,2
1x1-10,1
1x1-12,1
1x1-14,1
1x1-15,2
1x1-25,1
1x1-28,2
1x1-5,1
1x1-9,1
1x1.5,1
1x10 mm,1
1x12,1
1x12 mm,1
1x14,2
1x15,2
1x17,1
1x18 mm,1
1x19 mm,1
1x1mm,1
1x2,2
"1x2 ovary, flat",1
1x2-12 mm,1
1x2-18,1
1x2-20.5,1
1x2.5 mm,1
1x20,1
1x20 mm,1
1x21,2
1x26,1
1x2mm testis,1
1x3 mm,1
1x3-14,1
1x3-4 mm,1
1x3-9,1
1x4,1
1x4-28,1
1x4-7,1
1x6-5,1
2,1
"2 17mm embryos: 1R, 1L",1
2 3mm. embryos,1
2 6mm. embryos in right horn.,1
"2 9mm. embryos: 1L, 1R.",1
"2 Ax. Mammae, not repro",1
"2 EMB-R, 1 EMB-L, CR 2 mm",1
"2 EMBS: 1R, 1L; CR = 26 mm",1
"2 Embryos (1L, 1R) (R underdeveloped) CR:14",1
"2 Embryos (1L, 1R) CR: 38",1
2 Embs/1R/1L,1
"2 P-SCAR R, 1 P-SCAR L",1
"2 P-SCAR R, 2 P-SCAR L",1
"2 Placental Scars (2R, 0L) Uterus Enlarged",1
"2 Rt , 0 Lt plac scars",1
2 Testes=5.8gm.,1
2 Testes=7 gm.,1
2 X 1,5
2 X 1 - 12 mm,1
2 X 11,1
2 X 2,3
2 X 2 mm,2
2 X 2-8,1
2 X 3 - 14,1
2 X 3 - 16,1
2 X 3 = 3,1
"2 active brood patch, ov: 15x9, lrgst ova: 4 mm",1
"2 adults, 1 pupa",1
2 big testes 10 -13 mm,1
2 blastocyst,2
2 blastocysts,10
2 blastocysts & ovaries present,1
2 brood patch,1
"2 collapsed follicles, ov: 7x5 mm",1
"2 collapsed follicles, oviduct enlarged",1
"2 collapsed follicles, oviduct greatly enlarged, ov: 14x7, lrgst ova: 6 mm",1
2 corpus luteum 2-7 mm; 3 embryos apparently resorbed; 3 corpus luteum and 3 embryos (largest 6 mm) not resorbed,1
2 egg sacs,1
2 eggs,1
2 eggs (12.0mm),1
2 eggs collected,1
2 eggs in oviduct,1
2 eggs in oviduct.,1
"2 eggs in the ovidyct ready for laying, another 2",1
2 eggs removed from nest,1
2 eggs set,1
2 emb,2
"2 emb,  1 X 1; small",1
"2 emb, 5x2",1
"2 emb, cr ~ 18 mm",1
"2 emb. (10 mm) 1 L, 1 R",1
2 emb. (20 mm.),1
2 emb. (8 mm.),1
2 emb.; CR<1 mm,1
2 emb.; CR=1 mm,2
2 emb.; CR=23 mm,1
2 emb.; CR=33 mm,1
2 emb; CR-12; CR-6,1
2 emb; CR-13,1
2 emb; CR-20,1
2 emb; CR-4,1
2 emb; CR-5,1
2 emb; cr-10,1
2 emb; cr-11,1
2 emb; cr-11; extra-uterine,1
2 emb; cr-12,3
2 emb; cr-13,1
2 emb; cr-20,4
2 emb; cr-27,1
2 emb; cr-28,1
2 emb; cr-2x2,1
2 emb; cr-30,1
2 emb; cr-32,1
2 emb; cr-35,1
2 emb; cr-36,1
2 emb; cr-39,1
2 emb; cr-4,2
2 emb; cr-40,2
2 emb; cr-5,1
2 emb; cr-50,1
2 emb; cr-60,1
2 emb; cr-7,1
2 emb; cr-70,1
2 emb; cr-9,3
2 emb; tl-65,1
2 embroys; cr-65,1
"2 embryo scars each horn (4 total), lactating",1
"2 embryo scars in each horn (4 total), lactating.",1
"2 embryo scars left horn, 1 right",1
"2 embryo scars left horn, 1 right; not lactating",1
"2 embryo scars left horn, 3 right horn; lactating.",1
"2 embryo scars right horn, none left horn; lactating",1
"2 embryo scars, 1 in each horn, lactating",1
"2 embryonic scars: 1 R, 1 L",1
2 embryos,7
"2 embryos (0L, 2R) CR: 42",1
"2 embryos (1L, 1R) CR:12 mm",1
"2 embryos (1R, 1L)",2
"2 embryos (1R, 1L) CR: 14",1
"2 embryos (1R, 1L) CR:10",1
"2 embryos (1R, 1L) CR:17",1
"2 embryos (1R, 1L) CR:26",1
"2 embryos (1R, 1L) CR:8",1
2 embryos (2 L) CR:13,1
2 embryos (L) CR:36,1
2 embryos (L) CR:7,1
2 embryos 30 mm long.,1
2 embryos 37mm,1
2 embryos 50mm. CR,1
2 embryos 6mm long,1
"2 embryos L, 1R.",1
"2 embryos R horn, 2 in L measuring 7.75",1
2 embryos each horn.  Teats well-developed.,1
"2 embryos each side (4 total), 3x4mm",1
"2 embryos in 1 horn, 4 in other",1
"2 embryos in right horn, 1 in left (each 8x11mm)",1
"2 embryos left horn, 1 right, largest 5mm",1
2 embryos present CR 3.0 mm.,1
"2 embryos right horn, 2 embryos left horn 1x3mm",1
"2 embryos right horn, 3 left, ~9x10mm",1
"2 embryos right uterus, 1 embryo left uterus",1
2 embryos size red squirrel,1
"2 embryos, 42mm.",1
"2 embryos, R=1, L=1, CRL=11mm",1
"2 embryos, R=1, L=1, CRL=18 mm",1
"2 embryos, both left: 5mm.",1
2 embryos.,1
2 embryos.  RH ov. 8mm.,1
2 embryos: 130mm & placenta,1
"2 embryos: 1R, 15mm; 1L, degenerat",1
"2 embryos: 1R, 1L.  Ove: 11mm.",1
2 embryos: 7mm and 6mm,1
2 embryos; cr-10,1
2 embryos; cr-15,1
2 embryos; cr-7,1
2 embryos; cr-8,1
2 embryos?  Nursing.,1
2 embs,34
"2 embs 1R, 1L, placental scars",1
"2 embs X 10, no lact.",1
"2 embs, 0L, 2R",1
"2 embs, 0L, 2R, 10 mm",1
"2 embs, 0L, 2R, 14 mm",1
"2 embs, 0L, 2R, 1x1 mm, 13x11 mm",1
"2 embs, 0L, 2R, 2 mm",1
"2 embs, 0L, 2R, 20x16 mm",1
"2 embs, 0L, 2R, 26 mm",1
"2 embs, 0L, 2R, 7 mm",2
"2 embs, 0L, 2R, 9 mm",3
"2 embs, 1 R: 15 mm, 1 L",1
"2 embs, 1 X 1; cr = 3",2
"2 embs, 1 mm",1
"2 embs, 1.5 mm",1
"2 embs, 10 mm",3
"2 embs, 10x8, lactating",1
"2 embs, 11 mm",1
"2 embs, 12 mm",1
"2 embs, 12x10",1
"2 embs, 13 mm",3
"2 embs, 14 mm",1
"2 embs, 15 mm",1
"2 embs, 15x15",1
"2 embs, 16 mm",4
"2 embs, 17 mm",1
"2 embs, 1L (3x5 mm), 1R (3x6 mm)",1
"2 embs, 1L, 1R, 10 mm",3
"2 embs, 1L, 1R, 11 mm",2
"2 embs, 1L, 1R, 12 mm",1
"2 embs, 1L, 1R, 13 mm",2
"2 embs, 1L, 1R, 15 mm",2
"2 embs, 1L, 1R, 16 mm",1
"2 embs, 1L, 1R, 17 mm",1
"2 embs, 1L, 1R, 18 mm",2
"2 embs, 1L, 1R, 19 mm",1
"2 embs, 1L, 1R, 2 mm",1
"2 embs, 1L, 1R, 20 mm",1
"2 embs, 1L, 1R, 203 mm",1
"2 embs, 1L, 1R, 24x12 mm",1
"2 embs, 1L, 1R, 25 mm",1
"2 embs, 1L, 1R, 28 mm",1
"2 embs, 1L, 1R, 30 mm",1
"2 embs, 1L, 1R, 38 mm",1
"2 embs, 1L, 1R, 4 cm",1
"2 embs, 1L, 1R, 40 mm",1
"2 embs, 1L, 1R, 47 mm",1
"2 embs, 1L, 1R, 5 mm",1
"2 embs, 1L, 1R, 8 mm",1
"2 embs, 1L, 1R, 85 mm",1
"2 embs, 1L, 1R, CRL=7 mm",1
"2 embs, 1L, 1R, placental scars",1
"2 embs, 1L, 2R, 9 mm",1
"2 embs, 1R, 1L, 28x15",1
"2 embs, 1R, 1L, 30x20",1
"2 embs, 1R, 1L, 5 mm",1
"2 embs, 1R, 1L, 6 mm",2
"2 embs, 1R, 1L, 9 mm",1
"2 embs, 1R, 1L, CRL=7.5 mm, mammae large",1
"2 embs, 1R, 1L, CRL=7.5, mammae large",1
"2 embs, 2 mm",1
"2 embs, 2.5 mm, lactating",1
"2 embs, 20x15",1
"2 embs, 22 mm",2
"2 embs, 22x15 mm, 3.1g",1
"2 embs, 24 mm",1
"2 embs, 24x14 mm",1
"2 embs, 2L 0R, 17 mm",1
"2 embs, 2L 0R, 28 mm",1
"2 embs, 2L 0R, 30 mm",1
"2 embs, 2L, 0R",1
"2 embs, 2L, 0R, 10 mm 13 mm",1
"2 embs, 2L, 0R, 15 mm",1
"2 embs, 2L, 0R, 15 mm, 18 mm",1
"2 embs, 2L, 0R, 2 mm",1
"2 embs, 2L, 0R, 21 mm, 15 mm",1
"2 embs, 2L, 0R, 25 mm",1
"2 embs, 2L, 0R, 4 mm",1
"2 embs, 2R, 0L, CRL=5",2
"2 embs, 2x2 mm, 1x1 mm",1
"2 embs, 32x10 mm",1
"2 embs, 3x3 mm",1
"2 embs, 40 mm",1
"2 embs, 4x3",2
"2 embs, 5x4 mm",1
"2 embs, 5x5 mm, 0.6 g",1
"2 embs, 6 mm",1
"2 embs, 7 mm",1
"2 embs, 8 mm",2
"2 embs, cr X 25",1
"2 embs, lactating",1
2 embs.,4
"2 embs., 0 X 2, CR = 12",1
"2 embs., 1 L, 1 R, 13 mm",1
"2 embs., 2  R, 6 mm",1
"2 embs., 2 R, 5 mm; lact.",1
"2 embs., 2 R, 9 mm",1
"2 embs., 26 scars",1
"2 embs., CR=7",1
"2 embs., cr = 110 mm",1
"2 embs., cr = 12 mm",1
"2 embs., cr = 35 mm",1
"2 embs., cr = 9 mm",1
"2 embs.: 1 R, 1 L",1
2 embs/ 2L,1
2 embs/0 X 2/cr = 12 mm,1
2 embs/1 R/1 L/cr 7 mm,1
2 embs/1 R/1 L/cr = 1 mm,1
2 embs/1 R/1 L/cr = 12 mm,1
2 embs/1 R/1 L/cr = 17 mm,1
2 embs/1 R/1 L/cr = 21 mm,1
2 embs/1 R/1 L/cr = 22 mm,1
2 embs/1 R/1 L/cr = 25 mm,1
2 embs/1L+1R/cr=X30.5mm,1
2 embs/1R + 1L,1
2 embs/1R/1L/cr=22mm,1
2 embs/2 R/cr = 15 mm,1
2 embs/2 R/cr = 24 mm,1
2 embs/2L+3R/cr = X 11 mm,1
2 embs/2R + 0L/cr=X24mm,1
2 embs/2R+0L/cr = 14mm,1
2 embs/2R/cr = 24 mm,1
2 embs/3 L/cr = 6 mm,1
2 embs/cr = 16 mm,1
2 embs/cr = 22 mm,1
2 embs/cr = X 11 mm,1
2 embs/cr = X 9 mm,1
2 embs/cr X 20 mm,1
"2 embs: 0R, 2L; CR = 4",1
"2 embs: 1 L, 1 R, 5 mm",1
"2 embs: 1 R, 1 L (cr=2)",1
2 embs: 1(L)&1(R)=20mm,1
2 embs: 1(L)&1(R)=26mm,1
2 embs: 1(L)&1(R)=30mm,1
2 embs: 1(L)&1(R)=3mm,1
2 embs: 1(L)&1(R)=6mm,1
2 embs: 1(R)&1(L); cr=1mm,1
2 embs: 1(R)&1(L)=5mm,1
"2 embs: 1(R), 1(L)= 5mm",1
2 embs: 10mm,1
2 embs: 11mm,1
2 embs: 16mm,1
2 embs: 1L&1R=25mm,1
"2 embs: 1R, 1L (CR=10)",1
"2 embs: 1R, 1L, 18 mm",1
"2 embs: 1R, 1L; CR = 13 mm",1
"2 embs: 1R, 1L; CR= 14 mm",1
"2 embs: 1R, 1L; CR=50 mm",1
2 embs: 1lf & 1rt = 30mm,1
"2 embs: 1lf&1rt, cr=10mm",1
"2 embs: 1lf&1rt, cr=19mm",1
"2 embs: 1lf,1rt 20x7",1
"2 embs: 1lf,1rt 40mm",1
2 embs: 1rt & 1lf,1
2 embs: 1rt&1lf (not dev),1
2 embs: 1rt&1lf >5mm,1
2 embs: 1rt+1lf,1
"2 embs: 1rt, 1lf, 18 mm",1
"2 embs: 2 L, 0 R; CR = 8 mm",1
"2 embs: 2L, 0R; CR=3mm",1
2 embs: 4mm,1
2 embs: 5mm,1
2 embs: 8mm,1
2 embs: CR = 35mm,1
2 embs: CR=16mm,1
2 embs: CR=22mm,1
2 embs: CR=30mm,1
2 embs: CR=40mm,1
2 embs:1(R)&1(L),1
2 embs:1(R)&1(L); CR=18mm,1
2 embs:1(R)&1(L)=11mm,3
2 embs:1(R)&1(L)=20mm,1
"2 embs:1(R),1(L);CR<1mm",1
2 embs:1x1: CR=3,1
2 embs:CR=1mm,1
2 embs; CR = 29 mm,1
2 embs; CR=11mm,2
2 embs; CR=1mm,2
2 embs; CR=22mm,2
2 embs; CR=23mm,1
2 embs; CR=31mm,2
2 embs; CR=3mm,1
2 embs; CR=45mm,1
2 embs; CR=4mm,1
2 embs=23mm,1
2 embs?,1
"2 embyos (2R, 1L failed to develop) CR: 35",1
"2 enlarged follicles 8, 6 mm, 2 ruptured follicles, brood patch active",1
"2 enlarged ova 3 mm, 2 ruptured follicles, brood patch active",1
"2 enlarged ova, one ruptured follicle, no brood patch",1
"2 eutric follicles, ov: 20x10 mm, lrgst follicle 15 mm diameter",1
"2 exposed teats on each side (4 total); 4 embryos (2 in each horn) ~18mm crown-rump of embryos, 1 preserved in EtOH",1
2 fetuses,2
"2 fetuses in uterus, one in each horn, each ~5cm long",1
"2 fetuses, 20mm crown to rump, 22mm crown to rump",1
"2 follicles, largest ova ca. 2mm.",1
"2 gros testicules : droit 11 X 6,5 mm, gauche 12 X 7 mm.",1
"2 gros testicules assez mous : droit 12 X 8,5 mm, gauche 10 X 7 mm.",1
"2 gros testicules assez mous : droit 9,5 X 8 mm, gauche 10,5 X 8 mm.",1
2 hembras ovadas,11
2 large em,1
2 large embryos,1
"2 large follicles 7, 6 mm, 1 unshelled egg in oviduct, brood patch active, 2 ruptured follicles",1
2 lg. eggs,1
"2 lrgst ova: 4, 9 mm, one unshelled egg in oviduct, 2 ruptured follicles, brood patch defeathering",1
"2 lrgst ova: 7, 3 mm",1
2 mammae conspicuous,1
"2 mammae prominent but not lactating, one clear swelling",1
"2 mammae well dev,5 embryos",1
"2 mm - dark, round",1
2 mm x 1 mm,1
2 mm x 2 mm,1
"2 other ova enlarging, ruptured follicles, 1 ovum: 4 mm, old brood patch",1
"2 ova 8, 4 mm, 2 ruptured follicles, brood patch defeathering",1
2 ova in oviduct.,2
"2 ova: 3x3 mm, ov: 10x4 mm",1
2 ovaries: L-15x2.5mm R-12.4x2.5mm,1
2 ovary size of pea,1
"2 ovary-like, ~3x4mm (flat, slightly granular)",1
"2 ovid, yolked eggs, 1R, 1L, 25 X 14 mm",1
"2 ovules, 2 mm in diamter.",1
"2 ovum 10, 4 mm, 2 ruptured follicles, brood patch present",1
2 pac scars: 1(L)&1(R),1
"2 pac scars:1(L),1(R)",1
2 partly developed foetuses,2
2 plac scar,12
2 plac scar 1L 1R,3
2 plac scar 2L,1
2 plac scar 2L 0R,1
2 plac scar ?,1
2 placental scars,14
"2 placental scars (1L, R)",1
"2 placental scars (1R, 1L)",3
"2 placental scars (2L, 0R)",1
2 placental scars (L),1
2 placental scars each horn & 1 at junction. Mam.,1
"2 placental scars, 0L, 2R",1
"2 placental scars, 1L, 1R",1
"2 placental scars, lactating",1
"2 placental scars, not lactating",1
"2 placental scars, recent partus",1
2 placental scars.,2
"2 plsc (2L, 0R)",1
"2 plus old ruptured follicles, ovary granular, brood patch active",1
2 pouch young,3
2 pouch young; tl-30,1
2 reproductivo,1
2 reproductivos,1
"2 rt 1 lf, fresh scars",1
2 ruptured follicles + 1 follicle enlarged to 6 mm,1
"2 ruptured follicles 12,6mm, ova 7mm, others<=5mm",1
"2 ruptured follicles 6,3mm,ova 19,14mm,others<=3mm",1
"2 ruptured follicles and 2 enlarged, brood patch forming",1
"2 ruptured follicles, 1 shelled egg in oviduct, lrgst follicle: 20 mm",1
"2 ruptured follicles, 1 unshelled egg in oviduct, brood patch defeathering",1
"2 ruptured follicles, 1 unshelled egg in oviduct, lrgst follicle: 9 mm, brood patch forming",1
"2 ruptured follicles, 1 unshelled egg in oviduct, lrgst ova: 8, 13 mm",1
"2 ruptured follicles, 2 large follicles, brood patch active, ova in oviduct",1
"2 ruptured follicles, 2 ova enlarged, 1 unshelled egg in oviduct",1
"2 ruptured follicles, brood patch active",1
"2 ruptured follicles, brood patch defeathered",1
"2 ruptured follicles, egg in oviduct, 3 ova enlarged, active brood patch",1
"2 ruptured follicles, lrgst ova 8, 4 mm, brood patch active",1
"2 ruptured follicles, lrgst ova 8, 6 mm, unshelled egg in oviduct, brood patch active",1
"2 ruptured follicles, lrgst ova: 3x3, ov: 12x6 mm",1
"2 ruptured follicles, one unshelled egg in oviduct, brood patch defeathered and 3 large follicles 6, 4, 4 mm",1
"2 ruptured follicles, shelless egg in oviduct, brood patch defeathering",1
"2 ruptured follicles, soft shelled egg in oviduct",1
2 scars,1
"2 scars in each horn (4 total), lactating",1
"2 scars right, 2 scars left, lactating",1
"2 scars, 2 R; lact.",1
"2 scars, 2R",1
"2 scars: 1 rt, lf",1
"2 scars: 1(R), 1(L)",1
2 sets of placental scars,1
"2 sets scars; nipples enlarged, lactating",1
2 shelled eggs in oviduct,1
"2 shelled eggs, 1R, 1L, 23 X 13",1
"2 shelless ova: 40x40 mm, 1 shelled egg, oviduct enlarged",1
2 sm. embryo,1
2 sm. embs; not lact.,1
2 small embryo's,1
2 small embs.,1
"2 small ovaries, immature",1
2 testes,1
2 testes 1.05gm=1cc.,1
2 testes 3.1 x 3.4 mm,1
2 testes ~2mm,1
"2 testes, pale,~1mm",1
2 testes= 6.9 gms.,1
2 testes=1.1gm.,1
2 testes=137milligrams.  Testes free from all othe,1
2 testes=2.8gm.,1
2 testes=4.21gm.,1
2 testes=4.5 gms.,1
2 testes=7.5gm.,1
"2 testicules blancs (G : 1 x 0,8 ; D : 1 x 0,9)",2
"2 testicules blancs ovales : droit 8 X 5 mm, gauche 8,5 X 5 mm.",1
"2 testicules blancs égaux (1,8 X 0,6 mm).",1
"2 testicules bleus allongés, G = 8 X 4 mm, D = 8 X 3 mm",1
"2 testicules noirs égaux (3,1 x 1)",1
"2 testicules très petits (1,7 X 6 mm).",1
2 well-developed embryos,1
"2 well-developed embryos: 1.6, 1.6mm.",1
2 x 1,1
2 x 1 - 2,1
2 x 1 mm testis,1
2 x 2 mm,1
"2 x 2 mm, largest ovum .5 x .5 mm",1
2 x 35 mm embryos,1
2 x10 mm,1
2 young,2
2 young born in trap,1
"2 young in pouch; 1 male, 1 female; measurements of 1 young are: 163-55-19-16",1
2+1=3 placental scars,4
"2+1=3 placental scars, not lactating",1
"2+1=3 this year placental scars, 1+0=1 last year placental scars",1
"2+1=3 this year placental scars, 1+1=2 last year placental scars",1
"2+1=3 this year placental scars, 1+2=3 last year placental scars",1
"2+1=3 this year placental scars, 2+0=2 last year placental scars",1
"2+2=2 this year placental scars, 0+1=1 last year placental scars",1
2+2=4 placental scars,6
"2+2=4 placental scars, not lactating",1
"2+2=4 this year placental scars, 1+0=1 last year placental scars",1
2+3=5 placental scars,1
"2-3 ruptured follicles, brood patch active",1
2-8mm. embryos,1
2-9 mm,1
2.5x1,2
2.5x1.5,1
20 x 6 mm,1
20-25 kg,1
20A,1
21,1
2105,1
22.5,1
23022,1
23x10 mm,1
24 Mar 1946,1
24 developing young,1
"24, 4x3",1
246 mm,1
25 Jan 1947,1
25 X 14,1
25 x 10,1
25 x 13mm testes,1
25.7,1
26 May 1979,1
26 hembras ovadas,1
26.5 mm x 16.2 mm,1
27 Mar 1946,1
"28 Sep - 1 oct 1975 Sleeved on Quercus coccinea at Southford, CT Spring 1975 D. F. Schweitzer",1
28 kg,1
29 Jun 1945,1
29 sept - 10 oct1975 Sleeved on Betula lenta at Southford CT. D.F. Schweitzer,1
29.5 kg,1
29mm; largest ovum: 10mm,1
2=1.9gm. 2=2cc,2
2=15.2 gm.,1
"2=2.3gm, 2=2.8cc.",1
2=2.45gm.,1
2=2.6gm,1
2=2.7gm.,1
2=2.8gm.,1
2=2.9gm.  2=3cc.,1
"2=20.7gm, 2=6cc.",1
2=3.1gm.,1
2=3.4gm,1
2=3.7gm.,1
2=3.8gm 2=4cc.,1
2=3.8gm.,1
2=3cc.  2.8gm,1
2=4.2gm.,2
2=4.3gm. 2=4cc.,1
2=4.4gm,1
2=4gm,1
2=5.2cc.  2=5.4gm.,1
2=5.4gm,1
2=5.5cc. 2=5.65gm,1
