geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
EPSG:4332,1
EPSG:4333,1
EPSG:4334,1
EPSG:4335,1
EPSG:4336,2
EPSG:4337,2
EPSG:4338,2
EPSG:4339,3
EPSG:4340,1
EPSG:4341,1
EPSG:4342,1
EPSG:4343,2
EPSG:4344,1
EPSG:4345,1
EPSG:4346,2
EPSG:6326,1376
ESG:4326,7887
ESPG:4326 WGS84 decimal degrees,973061
ETRS89,8288
ETRS89 (~WGS84),48827
EUREF89,102263
"Europa Technologies,",14
Europe50 - International de Hayford,81
European 1950,2480
European Datum 1950,1
FALSE,1
FAP777,1
Falling Rain,2
Fort Thomas 1955,19
Fundamental de Ocotepeque,7470
G9,1
GAD94,1
GDA 94,1
GDA94,69917
GEO-SIRGAS2000_EGM-10409,147
GEO-SIRGAS2000_EGM-105,29981
GEO-SIRGAS2000_EGM-10515,38
GEO-SIRGAS2000_EGM-1055,5
GEO-SIRGAS2000_EGM-106,1
GEO-SIRGAS2000_EGM-107,1
GEO-SIRGAS2000_EGM-108,1
GEO-SIRGAS2000_EGM-109,1
GEO-SIRGAS2000_EGM-110,1
GEO-SIRGAS2000_EGM-111,1
GEO-SIRGAS2000_EGM-112,1
GEO-SIRGAS2000_EGM-113,1
GEO-SIRGAS2000_EGM-114,1
GEO-SIRGAS2000_EGM-115,1
GEO-SIRGAS2000_EGM-1159,6
GEO-SIRGAS2000_EGM-116,1
GEO-SIRGAS2000_EGM-1164,34
GEO-SIRGAS2000_EGM-117,1
GEO-SIRGAS2000_EGM-1174,376
GEO-SIRGAS2000_EGM-118,1
GEO-SIRGAS2000_EGM-119,1
GEO-SIRGAS2000_EGM-1190,3
GEO-SIRGAS2000_EGM-1191,1
GEO-SIRGAS2000_EGM-1192,82
GEO-SIRGAS2000_EGM-120,1
GEO-SIRGAS2000_EGM-121,1
GEO-SIRGAS2000_EGM-122,1
GEO-SIRGAS2000_EGM-123,1
GEO-SIRGAS2000_EGM-1231,42
